,adopted_MIN_TOTAL=1_K=3,reliable_core_K=3
distance_to_centre,0.048639366811318516,0.06549821982347118
log_total_activity,0.48965921074057317,0.0977057824319181
direction_balance,0.010625436980672939,0.055808049844047386
post_midnight_share,0.2571513285967056,0.2837473104544486
deep_night_share,0.16814253121361894,0.28479290019047826
post_midnight_persistence,0.2261930169233875,0.2638752548065701
weekend_ratio,0.030777985163246133,0.05672425346504195
