threshold,n_units,pct_of_all_units,bic_best_K_full_cov,forced_K,geo_eta2_distance,eta2_log_total_activity,eta2_direction_balance,eta2_post_midnight_share,eta2_deep_night_share,eta2_post_midnight_persistence,eta2_weekend_ratio
0,4100,100.0,4,3,0.048639366811318516,0.48965921074057317,0.010625436980672939,0.2571513285967056,0.16814253121361894,0.2261930169233875,0.030777985163246133
450,2452,59.8,2,3,0.06457878653353623,0.0984007687562065,0.054965862066773986,0.2795251660840452,0.2808367025239567,0.2611278739576074,0.0544314345286869
650,2039,49.7,2,3,0.0687279456211022,0.06630462187045642,0.07393351018252683,0.3177237089101462,0.30144120172316924,0.29527770843966605,0.0742174679645267
