K,BIC,silhouette,calinski_harabasz,davies_bouldin,bootstrap_ARI_mean,bootstrap_ARI_sd,sizes
2,-1448485.7445260067,0.20299393068087931,56.39031486462319,4.774462570688687,0.6546495204561087,0.08851798590378697,"[2156, 296]"
3,-1437354.0624974477,0.12383405421782731,230.184263342768,2.545549202850489,0.7267694281552394,0.025244217643426794,"[1519, 723, 210]"
4,-1427717.0919894555,0.041739485953769834,151.9608739585405,3.291928673552934,0.4193846881461907,0.12568411668066942,"[1036, 735, 529, 152]"
