lsoa,tier,total_activity
E01001271,3_reliable_core,721.25164
E01001272,3_reliable_core,3822.74533
E01001273,0_no_recorded_activity,
E01001274,0_no_recorded_activity,
E01001275,2_below_reliable_threshold,445.82702
E01001276,3_reliable_core,669.39869
E01001277,3_reliable_core,3654.66733
E01001278,3_reliable_core,1717.17455
E01001279,1_matched_stop_no_activity,
E01001280,2_below_reliable_threshold,182.61687
E01001281,2_below_reliable_threshold,107.27976
E01001282,2_below_reliable_threshold,77.75638000000001
E01001283,3_reliable_core,2137.8471
E01001284,1_matched_stop_no_activity,
E01001285,3_reliable_core,1163.1444
E01001286,2_below_reliable_threshold,284.93627
E01001287,1_matched_stop_no_activity,
E01001288,3_reliable_core,862.56205
E01001289,2_below_reliable_threshold,115.32925
E01001290,3_reliable_core,470.39507
E01001291,3_reliable_core,473.82315
E01001292,0_no_recorded_activity,
E01001293,3_reliable_core,896.48296
E01001294,3_reliable_core,850.79194
E01001295,3_reliable_core,894.19034
E01001296,2_below_reliable_threshold,289.49518
E01001297,3_reliable_core,1758.70313
E01001298,2_below_reliable_threshold,274.11346
E01001299,2_below_reliable_threshold,148.71008
E01001300,2_below_reliable_threshold,368.74605
E01001301,3_reliable_core,1991.49102
E01001302,3_reliable_core,1858.32159
E01001303,3_reliable_core,1801.04961
E01001304,0_no_recorded_activity,
E01001305,2_below_reliable_threshold,67.41239
E01001306,0_no_recorded_activity,
E01001307,2_below_reliable_threshold,158.36974
E01001308,3_reliable_core,597.12778
E01001309,2_below_reliable_threshold,66.97225
E01001310,2_below_reliable_threshold,51.81672
E01001311,2_below_reliable_threshold,164.24753
E01001312,3_reliable_core,1149.04447
E01001313,2_below_reliable_threshold,406.14181
E01001314,0_no_recorded_activity,
E01001315,2_below_reliable_threshold,421.16787
E01001316,3_reliable_core,1619.52157
E01001317,3_reliable_core,504.98094
E01001318,2_below_reliable_threshold,241.36748
E01001319,1_matched_stop_no_activity,
E01001320,2_below_reliable_threshold,74.19556
E01001321,3_reliable_core,534.70897
E01001322,3_reliable_core,8842.87637
E01001323,3_reliable_core,2368.00899
E01001324,2_below_reliable_threshold,258.20316
E01001325,3_reliable_core,604.72292
E01001326,3_reliable_core,1206.62945
E01001327,3_reliable_core,1940.65688
E01001328,3_reliable_core,5979.57911
E01001329,3_reliable_core,489.73096
E01001330,3_reliable_core,2304.58875
E01001331,2_below_reliable_threshold,257.10534
E01001332,0_no_recorded_activity,
E01001333,3_reliable_core,3662.4864
E01001334,2_below_reliable_threshold,328.39627
E01001335,1_matched_stop_no_activity,
E01001336,3_reliable_core,968.06987
E01001337,3_reliable_core,5814.95495
E01001338,3_reliable_core,5100.13936
E01001339,2_below_reliable_threshold,385.19594
E01001340,0_no_recorded_activity,
E01001341,3_reliable_core,1226.32876
E01001342,2_below_reliable_threshold,316.33216
E01001343,2_below_reliable_threshold,184.79293
E01001344,3_reliable_core,1145.17862
E01001345,0_no_recorded_activity,
E01001346,2_below_reliable_threshold,52.90685
E01001347,3_reliable_core,527.46066
E01001348,3_reliable_core,1186.205
E01001349,2_below_reliable_threshold,447.8573
E01001350,2_below_reliable_threshold,57.4514
E01001351,3_reliable_core,5389.36291
E01001352,3_reliable_core,1291.8279
E01001353,3_reliable_core,761.85821
E01001354,3_reliable_core,759.57267
E01001355,3_reliable_core,5614.30581
E01001356,0_no_recorded_activity,
E01001357,2_below_reliable_threshold,103.96326
E01001358,3_reliable_core,550.65595
E01001359,3_reliable_core,745.04521
E01001360,0_no_recorded_activity,
E01001361,3_reliable_core,22455.79654
E01001362,3_reliable_core,6760.22
E01001363,3_reliable_core,4705.75539
E01001364,0_no_recorded_activity,
E01001365,1_matched_stop_no_activity,
E01001366,0_no_recorded_activity,
E01001367,3_reliable_core,8906.67332
E01001368,0_no_recorded_activity,
E01001369,3_reliable_core,1020.85184
E01001370,3_reliable_core,2757.96141
E01001371,3_reliable_core,900.76599
E01001372,0_no_recorded_activity,
E01001373,0_no_recorded_activity,
E01001374,0_no_recorded_activity,
E01001375,2_below_reliable_threshold,208.99674
E01001376,3_reliable_core,487.96798
E01001377,2_below_reliable_threshold,238.34944
E01001379,0_no_recorded_activity,
E01001380,2_below_reliable_threshold,53.7735
E01001381,0_no_recorded_activity,
E01001382,0_no_recorded_activity,
E01001383,0_no_recorded_activity,
E01001384,2_below_reliable_threshold,334.59854
E01001385,3_reliable_core,912.30763
E01001386,2_below_reliable_threshold,232.62929
E01001387,3_reliable_core,475.0458
E01001388,3_reliable_core,5114.99244
E01001389,3_reliable_core,3260.20823
E01001390,3_reliable_core,494.73446
E01001391,3_reliable_core,954.17191
E01001392,0_no_recorded_activity,
E01001393,3_reliable_core,1027.51173
E01001394,3_reliable_core,5128.15709
E01001395,2_below_reliable_threshold,198.82518
E01001396,3_reliable_core,2449.90778
E01001397,3_reliable_core,734.36825
E01001398,2_below_reliable_threshold,109.6806
E01001399,2_below_reliable_threshold,351.86051
E01001400,3_reliable_core,1111.6899
E01001401,2_below_reliable_threshold,273.70124
E01001402,3_reliable_core,751.34151
E01001403,2_below_reliable_threshold,441.39046
E01001404,3_reliable_core,648.69948
E01001405,2_below_reliable_threshold,23.74866
E01001406,2_below_reliable_threshold,348.09715
E01001407,2_below_reliable_threshold,105.56043
E01001408,3_reliable_core,581.97139
E01001409,2_below_reliable_threshold,316.31695
E01001410,0_no_recorded_activity,
E01001411,3_reliable_core,960.12611
E01001412,2_below_reliable_threshold,318.08001
E01001413,2_below_reliable_threshold,26.50528
E01001414,2_below_reliable_threshold,180.78283
E01001415,3_reliable_core,1217.70772
E01001416,2_below_reliable_threshold,13.99346
E01001417,2_below_reliable_threshold,74.73055
E01001418,2_below_reliable_threshold,197.91322
E01001419,3_reliable_core,2155.05034
E01001420,0_no_recorded_activity,
E01001421,2_below_reliable_threshold,6.88627
E01001422,1_matched_stop_no_activity,
E01001423,3_reliable_core,872.42083
E01001424,0_no_recorded_activity,
E01001425,3_reliable_core,8704.59517
E01001426,2_below_reliable_threshold,26.90277
E01001427,3_reliable_core,1644.87226
E01001428,0_no_recorded_activity,
E01001429,3_reliable_core,24005.24117
E01001430,3_reliable_core,1188.21691
E01001431,2_below_reliable_threshold,289.06163
E01001432,3_reliable_core,3921.90435
E01001433,2_below_reliable_threshold,406.09869
E01001434,0_no_recorded_activity,
E01001435,0_no_recorded_activity,
E01001436,2_below_reliable_threshold,104.34153
E01001437,2_below_reliable_threshold,274.59845
E01001438,3_reliable_core,799.05324
E01001439,3_reliable_core,3965.85318
E01001440,3_reliable_core,1251.50158
E01001441,2_below_reliable_threshold,126.70328
E01001442,3_reliable_core,599.6763
E01001444,3_reliable_core,929.53126
E01001445,2_below_reliable_threshold,439.58425
E01001446,2_below_reliable_threshold,409.10352
E01001447,3_reliable_core,830.21393
E01001448,0_no_recorded_activity,
E01001449,2_below_reliable_threshold,417.67911
E01001450,3_reliable_core,5479.75512
E01001451,3_reliable_core,651.27362
E01001452,1_matched_stop_no_activity,
E01001453,2_below_reliable_threshold,306.56642
E01001454,2_below_reliable_threshold,246.63696
E01001455,2_below_reliable_threshold,211.66921
E01001456,2_below_reliable_threshold,57.07986
E01001457,3_reliable_core,507.726
E01001458,3_reliable_core,3087.90808
E01001459,2_below_reliable_threshold,183.66394
E01001460,2_below_reliable_threshold,100.56489
E01001461,3_reliable_core,477.19152
E01001462,2_below_reliable_threshold,67.26719
E01001463,0_no_recorded_activity,
E01001464,1_matched_stop_no_activity,
E01001465,3_reliable_core,1609.45514
E01001466,2_below_reliable_threshold,4.179679999999999
E01001467,0_no_recorded_activity,
E01001468,3_reliable_core,669.5485199999999
E01001469,2_below_reliable_threshold,279.47303
E01001470,3_reliable_core,548.80194
E01001471,2_below_reliable_threshold,147.87496
E01001472,0_no_recorded_activity,
E01001473,2_below_reliable_threshold,108.95722
E01001474,3_reliable_core,736.51954
E01001475,2_below_reliable_threshold,10.62515
E01001476,3_reliable_core,1351.88049
E01001477,1_matched_stop_no_activity,
E01001478,2_below_reliable_threshold,157.11028
E01001479,3_reliable_core,2367.85307
E01001480,2_below_reliable_threshold,151.80435
E01001481,2_below_reliable_threshold,209.24453
E01001482,0_no_recorded_activity,
E01001483,2_below_reliable_threshold,407.38921
E01001484,2_below_reliable_threshold,2.41584
E01001485,3_reliable_core,1956.8552
E01001486,3_reliable_core,1051.32176
E01001487,3_reliable_core,787.34968
E01001488,2_below_reliable_threshold,209.82816
E01001489,2_below_reliable_threshold,277.47891
E01001491,3_reliable_core,758.92353
E01001492,3_reliable_core,665.68165
E01001493,2_below_reliable_threshold,320.02911
E01001494,2_below_reliable_threshold,8.252040000000001
E01001495,0_no_recorded_activity,
E01001496,1_matched_stop_no_activity,
E01001497,0_no_recorded_activity,
E01001498,3_reliable_core,1942.05873
E01001499,3_reliable_core,1693.82603
E01001500,3_reliable_core,716.6108
E01001501,3_reliable_core,4026.0857
E01001502,3_reliable_core,2849.08437
E01001503,2_below_reliable_threshold,3.7054
E01001504,2_below_reliable_threshold,149.40886
E01001505,3_reliable_core,2926.83687
E01001507,3_reliable_core,6464.4196
E01001508,2_below_reliable_threshold,10.0257
E01001509,2_below_reliable_threshold,308.12789
E01001511,3_reliable_core,3253.52674
E01001512,3_reliable_core,1802.28948
E01001513,3_reliable_core,1563.50959
E01001514,2_below_reliable_threshold,138.25569
E01001515,2_below_reliable_threshold,340.57339
E01001516,3_reliable_core,996.28383
E01001517,2_below_reliable_threshold,77.28941999999999
E01001518,3_reliable_core,1246.65401
E01001520,2_below_reliable_threshold,163.4162
E01001521,2_below_reliable_threshold,317.08693
E01001522,2_below_reliable_threshold,159.02053
E01001523,2_below_reliable_threshold,439.61101
E01001524,2_below_reliable_threshold,274.55196
E01001525,2_below_reliable_threshold,71.99395
E01001526,2_below_reliable_threshold,61.62502
E01001527,2_below_reliable_threshold,300.682
E01001528,3_reliable_core,1233.89702
E01001529,3_reliable_core,734.13952
E01001530,2_below_reliable_threshold,160.35446
E01001531,1_matched_stop_no_activity,
E01001532,3_reliable_core,678.60833
E01001533,0_no_recorded_activity,
E01001534,3_reliable_core,5671.55484
E01001535,2_below_reliable_threshold,179.7406
E01001536,3_reliable_core,4171.05164
E01001537,2_below_reliable_threshold,219.77496
E01001538,2_below_reliable_threshold,372.61708
E01001539,2_below_reliable_threshold,25.2828
E01001540,3_reliable_core,482.49599
E01001541,0_no_recorded_activity,
E01001542,2_below_reliable_threshold,284.82694
E01001543,2_below_reliable_threshold,13.69194
E01001544,3_reliable_core,574.60999
E01001545,2_below_reliable_threshold,11.52505
E01001546,2_below_reliable_threshold,276.4159
E01001547,3_reliable_core,2470.9132
E01001548,2_below_reliable_threshold,127.83038
E01001549,3_reliable_core,2104.68189
E01001550,2_below_reliable_threshold,186.01776
E01001551,3_reliable_core,461.8606
E01001552,3_reliable_core,817.59399
E01001553,3_reliable_core,1063.43172
E01001554,3_reliable_core,1753.32697
E01001555,3_reliable_core,1843.49728
E01001556,0_no_recorded_activity,
E01001557,0_no_recorded_activity,
E01001558,3_reliable_core,8367.56668
E01001559,3_reliable_core,1477.25675
E01001560,3_reliable_core,2056.91741
E01001562,1_matched_stop_no_activity,
E01001563,3_reliable_core,1599.9054
E01001564,3_reliable_core,479.40326
E01001565,1_matched_stop_no_activity,
E01001566,2_below_reliable_threshold,337.21615
E01001567,2_below_reliable_threshold,3.25567
E01001568,2_below_reliable_threshold,4.76852
E01001569,3_reliable_core,1551.83643
E01001570,3_reliable_core,462.14853
E01001571,3_reliable_core,560.72132
E01001572,3_reliable_core,1348.27261
E01001573,3_reliable_core,1303.96323
E01001574,2_below_reliable_threshold,212.5904
E01001575,3_reliable_core,1628.39457
E01001576,3_reliable_core,799.5367
E01001577,3_reliable_core,1073.97596
E01001578,0_no_recorded_activity,
E01001579,3_reliable_core,800.78266
E01001580,3_reliable_core,2928.93824
E01001581,3_reliable_core,5397.1877
E01001582,3_reliable_core,528.07007
E01001583,3_reliable_core,735.84744
E01001584,3_reliable_core,1336.37119
E01001585,0_no_recorded_activity,
E01001586,2_below_reliable_threshold,31.19535
E01001587,2_below_reliable_threshold,103.65153
E01001588,3_reliable_core,1696.72177
E01001589,0_no_recorded_activity,
E01001590,2_below_reliable_threshold,303.28788
E01001591,3_reliable_core,2040.33914
E01001592,2_below_reliable_threshold,106.01705
E01001593,3_reliable_core,678.53798
E01001594,3_reliable_core,2006.15435
E01001595,0_no_recorded_activity,
E01001596,2_below_reliable_threshold,321.43818
E01001597,3_reliable_core,1449.15952
E01001598,0_no_recorded_activity,
E01001599,2_below_reliable_threshold,92.24568
E01001600,3_reliable_core,887.73368
E01001601,2_below_reliable_threshold,371.78828
E01001602,3_reliable_core,806.48613
E01001603,3_reliable_core,493.71058
E01001604,3_reliable_core,2387.64405
E01001605,2_below_reliable_threshold,134.35205
E01001606,2_below_reliable_threshold,106.96038
E01001607,2_below_reliable_threshold,300.37079
E01001608,2_below_reliable_threshold,44.25361
E01001609,3_reliable_core,2732.83381
E01001610,2_below_reliable_threshold,319.09884
E01001611,3_reliable_core,528.88061
E01001613,3_reliable_core,1171.05879
E01001614,3_reliable_core,1218.65783
E01001615,3_reliable_core,9080.54749
E01001617,3_reliable_core,1991.36547
E01001618,2_below_reliable_threshold,310.10037
E01001619,2_below_reliable_threshold,168.78125
E01001620,2_below_reliable_threshold,429.65563
E01001621,3_reliable_core,588.4073099999999
E01001623,2_below_reliable_threshold,177.08840999999998
E01001624,2_below_reliable_threshold,360.48569
E01001625,3_reliable_core,1466.21752
E01001629,3_reliable_core,1546.13045
E01001631,3_reliable_core,5766.46597
E01001632,3_reliable_core,1426.37068
E01001633,2_below_reliable_threshold,170.80194
E01001634,2_below_reliable_threshold,358.00963
E01001635,2_below_reliable_threshold,72.18266
E01001636,0_no_recorded_activity,
E01001637,3_reliable_core,1317.53431
E01001638,2_below_reliable_threshold,107.40168
E01001641,3_reliable_core,8693.31212
E01001642,3_reliable_core,524.0487899999999
E01001644,3_reliable_core,3641.13134
E01001645,2_below_reliable_threshold,405.5019
E01001646,3_reliable_core,2192.45047
E01001647,2_below_reliable_threshold,245.04697
E01001648,3_reliable_core,499.20168
E01001649,0_no_recorded_activity,
E01001650,0_no_recorded_activity,
E01001651,3_reliable_core,695.21767
E01001652,3_reliable_core,1282.18667
E01001653,2_below_reliable_threshold,299.79176
E01001654,2_below_reliable_threshold,32.662699999999994
E01001655,3_reliable_core,473.93861
E01001656,2_below_reliable_threshold,89.33591
E01001657,0_no_recorded_activity,
E01001658,3_reliable_core,1515.2179
E01001659,3_reliable_core,1269.67413
E01001660,2_below_reliable_threshold,258.2704
E01001661,3_reliable_core,745.1544299999999
E01001664,0_no_recorded_activity,
E01001665,3_reliable_core,2180.40091
E01001666,3_reliable_core,4096.07329
E01001669,3_reliable_core,869.73062
E01001671,3_reliable_core,825.54647
E01001672,0_no_recorded_activity,
E01001673,3_reliable_core,10838.76148
E01001674,2_below_reliable_threshold,150.74901
E01001675,0_no_recorded_activity,
E01001676,3_reliable_core,4278.20025
E01001677,3_reliable_core,1379.47426
E01001678,2_below_reliable_threshold,306.05895
E01001679,0_no_recorded_activity,
E01001680,2_below_reliable_threshold,319.79605000000004
E01001681,0_no_recorded_activity,
E01001682,3_reliable_core,1538.39346
E01001683,3_reliable_core,2576.93441
E01001684,2_below_reliable_threshold,151.56346
E01001685,2_below_reliable_threshold,350.32691
E01001686,3_reliable_core,952.28812
E01001687,2_below_reliable_threshold,53.81238
E01001688,3_reliable_core,1943.87338
E01001690,3_reliable_core,1514.8292
E01001692,0_no_recorded_activity,
E01001693,3_reliable_core,1997.74287
E01001694,3_reliable_core,543.80137
E01001695,2_below_reliable_threshold,190.9881
E01001696,3_reliable_core,15089.47895
E01001697,2_below_reliable_threshold,425.30252
E01001698,2_below_reliable_threshold,104.68869
E01001699,3_reliable_core,2272.17218
E01001700,3_reliable_core,2823.90061
E01001701,3_reliable_core,4990.69235
E01001702,0_no_recorded_activity,
E01001703,3_reliable_core,977.53932
E01001704,3_reliable_core,488.15525
E01001705,3_reliable_core,800.73348
E01001708,3_reliable_core,1594.64606
E01001710,2_below_reliable_threshold,237.56734
E01001712,3_reliable_core,1935.99641
E01001714,3_reliable_core,2458.79507
E01001715,0_no_recorded_activity,
E01001716,2_below_reliable_threshold,244.27507
E01001717,3_reliable_core,818.76812
E01001718,3_reliable_core,2524.00182
E01001719,3_reliable_core,1150.84462
E01001720,2_below_reliable_threshold,337.11415
E01001722,3_reliable_core,1361.45509
E01001723,1_matched_stop_no_activity,
E01001724,3_reliable_core,6080.19885
E01001725,0_no_recorded_activity,
E01001726,3_reliable_core,701.96815
E01001727,2_below_reliable_threshold,68.9721
E01001728,3_reliable_core,556.12762
E01001729,3_reliable_core,2609.49324
E01001730,3_reliable_core,1898.08522
E01001731,3_reliable_core,4920.09642
E01001732,0_no_recorded_activity,
E01001733,3_reliable_core,1863.4194
E01001734,3_reliable_core,4489.70833
E01001735,2_below_reliable_threshold,318.48731
E01001736,0_no_recorded_activity,
E01001737,3_reliable_core,608.85903
E01001738,3_reliable_core,1251.07682
E01001739,3_reliable_core,1420.65602
E01001740,2_below_reliable_threshold,246.39512
E01001741,3_reliable_core,1177.10518
E01001742,3_reliable_core,821.89404
E01001744,2_below_reliable_threshold,172.81358
E01001745,3_reliable_core,562.63311
E01001746,2_below_reliable_threshold,198.327
E01001747,3_reliable_core,4531.02662
E01001749,3_reliable_core,1565.30016
E01001750,3_reliable_core,919.6482
E01001751,3_reliable_core,479.37757
E01001753,0_no_recorded_activity,
E01001755,3_reliable_core,921.71134
E01001756,3_reliable_core,2761.15634
E01001757,2_below_reliable_threshold,125.69321
E01001758,3_reliable_core,2954.27836
E01001759,2_below_reliable_threshold,89.97846
E01001760,3_reliable_core,4458.80153
E01001761,2_below_reliable_threshold,253.92463
E01001762,3_reliable_core,7904.93838
E01001763,2_below_reliable_threshold,13.22643
E01001764,0_no_recorded_activity,
E01001765,2_below_reliable_threshold,381.67893
E01001767,2_below_reliable_threshold,199.48742
E01001768,0_no_recorded_activity,
E01001769,3_reliable_core,1131.88739
E01001770,3_reliable_core,7620.88072
E01001772,2_below_reliable_threshold,227.99658
E01001773,3_reliable_core,1832.71873
E01001774,3_reliable_core,1382.72947
E01001775,2_below_reliable_threshold,180.23382
E01001776,3_reliable_core,1325.65633
E01001777,3_reliable_core,2729.05877
E01001780,0_no_recorded_activity,
E01001781,3_reliable_core,3284.39016
E01001783,2_below_reliable_threshold,44.94178
E01001784,2_below_reliable_threshold,168.45114999999998
E01001785,0_no_recorded_activity,
E01001786,3_reliable_core,1290.75183
E01001787,3_reliable_core,630.87602
E01001788,3_reliable_core,768.20279
E01001789,0_no_recorded_activity,
E01001790,0_no_recorded_activity,
E01001791,2_below_reliable_threshold,243.07222
E01001792,3_reliable_core,2783.42682
E01001793,2_below_reliable_threshold,391.33001
E01001794,3_reliable_core,969.98678
E01001795,3_reliable_core,1366.84757
E01001796,2_below_reliable_threshold,132.80306
E01001798,3_reliable_core,2790.69251
E01001799,0_no_recorded_activity,
E01001800,3_reliable_core,2242.38447
E01001801,3_reliable_core,793.76868
E01001802,2_below_reliable_threshold,272.52954
E01001803,3_reliable_core,651.09548
E01001804,0_no_recorded_activity,
E01001805,3_reliable_core,2577.27458
E01001806,3_reliable_core,588.91801
E01001807,3_reliable_core,896.00976
E01001808,3_reliable_core,8517.12143
E01001809,3_reliable_core,1635.22781
E01001811,3_reliable_core,1875.17577
E01001812,0_no_recorded_activity,
E01001813,3_reliable_core,6724.32234
E01001814,3_reliable_core,4249.83305
E01001815,2_below_reliable_threshold,114.30013
E01001816,2_below_reliable_threshold,82.35158
E01001819,2_below_reliable_threshold,269.21186
E01001820,2_below_reliable_threshold,188.79175
E01001821,2_below_reliable_threshold,236.41488
E01001822,3_reliable_core,1293.04288
E01001823,0_no_recorded_activity,
E01001824,3_reliable_core,1089.84526
E01001825,0_no_recorded_activity,
E01001826,3_reliable_core,1201.54343
E01001827,3_reliable_core,1237.85215
E01001828,2_below_reliable_threshold,222.40164
E01001829,3_reliable_core,990.51137
E01001830,3_reliable_core,4173.80111
E01001831,3_reliable_core,5871.07362
E01001832,3_reliable_core,3259.32209
E01001833,0_no_recorded_activity,
E01001834,3_reliable_core,672.81851
E01001835,3_reliable_core,1104.99724
E01001836,3_reliable_core,1436.64904
E01001837,3_reliable_core,2962.51528
E01001838,0_no_recorded_activity,
E01001839,3_reliable_core,6433.50494
E01001840,3_reliable_core,1606.07524
E01001841,2_below_reliable_threshold,403.92294
E01001842,0_no_recorded_activity,
E01001843,0_no_recorded_activity,
E01001844,3_reliable_core,1312.44637
E01001845,3_reliable_core,574.82326
E01001846,3_reliable_core,1900.97833
E01001847,2_below_reliable_threshold,149.54578
E01001848,3_reliable_core,1755.51059
E01001849,3_reliable_core,2171.61648
E01001850,3_reliable_core,1018.31349
E01001851,0_no_recorded_activity,
E01001852,0_no_recorded_activity,
E01001853,0_no_recorded_activity,
E01001854,2_below_reliable_threshold,406.39085
E01001855,0_no_recorded_activity,
E01001856,2_below_reliable_threshold,449.18255
E01001857,3_reliable_core,1537.28094
E01001858,2_below_reliable_threshold,329.32987
E01001859,1_matched_stop_no_activity,
E01001860,3_reliable_core,2857.68938
E01001861,3_reliable_core,986.57287
E01001862,0_no_recorded_activity,
E01001863,0_no_recorded_activity,
E01001864,0_no_recorded_activity,
E01001865,0_no_recorded_activity,
E01001866,3_reliable_core,1864.07571
E01001867,2_below_reliable_threshold,234.31114
E01001868,2_below_reliable_threshold,218.72118
E01001869,3_reliable_core,1119.42013
E01001870,0_no_recorded_activity,
E01001871,3_reliable_core,634.2904599999999
E01001872,0_no_recorded_activity,
E01001873,0_no_recorded_activity,
E01001875,3_reliable_core,2487.12322
E01001876,3_reliable_core,2189.34207
E01001877,3_reliable_core,2695.54646
E01001878,0_no_recorded_activity,
E01001879,2_below_reliable_threshold,356.8052
E01001880,1_matched_stop_no_activity,
E01001881,2_below_reliable_threshold,190.3063
E01001882,3_reliable_core,1306.33282
E01001883,2_below_reliable_threshold,219.04113
E01001884,3_reliable_core,2231.71231
E01001885,2_below_reliable_threshold,391.05591
E01001886,3_reliable_core,2527.8344
E01001887,3_reliable_core,1597.52478
E01001888,0_no_recorded_activity,
E01001889,0_no_recorded_activity,
E01001890,0_no_recorded_activity,
E01001891,3_reliable_core,4334.08008
E01001892,0_no_recorded_activity,
E01001893,2_below_reliable_threshold,144.70735
E01001894,3_reliable_core,664.93562
E01001895,2_below_reliable_threshold,396.70062
E01001896,3_reliable_core,1055.06899
E01001897,0_no_recorded_activity,
E01001898,3_reliable_core,30036.46625
E01001899,2_below_reliable_threshold,207.84292
E01001900,3_reliable_core,1231.30103
E01001901,0_no_recorded_activity,
E01001902,2_below_reliable_threshold,322.33973
E01001903,3_reliable_core,1021.03519
E01001904,0_no_recorded_activity,
E01001905,2_below_reliable_threshold,205.93374
E01001906,2_below_reliable_threshold,402.46309
E01001907,2_below_reliable_threshold,257.31437
E01001908,0_no_recorded_activity,
E01001909,3_reliable_core,463.22387
E01001910,0_no_recorded_activity,
E01001911,3_reliable_core,579.9510300000001
E01001912,3_reliable_core,895.49015
E01001913,2_below_reliable_threshold,250.85403
E01001914,3_reliable_core,1253.0227
E01001915,3_reliable_core,3526.17204
E01001916,3_reliable_core,639.82525
E01001917,1_matched_stop_no_activity,
E01001918,3_reliable_core,1466.01379
E01001919,0_no_recorded_activity,
E01001920,3_reliable_core,3860.04423
E01001921,3_reliable_core,2983.33094
E01001922,3_reliable_core,522.94245
E01001923,2_below_reliable_threshold,40.40745
E01001924,3_reliable_core,547.43223
E01001925,3_reliable_core,566.00641
E01001926,0_no_recorded_activity,
E01001927,0_no_recorded_activity,
E01001928,3_reliable_core,1704.94979
E01001929,2_below_reliable_threshold,108.96589
E01001930,3_reliable_core,1990.8349
E01001931,1_matched_stop_no_activity,
E01001932,3_reliable_core,1279.33158
E01001933,3_reliable_core,627.33842
E01001934,0_no_recorded_activity,
E01001935,0_no_recorded_activity,
E01001937,3_reliable_core,1073.87843
E01001938,3_reliable_core,1358.23358
E01001940,3_reliable_core,752.87833
E01001941,3_reliable_core,6121.04135
E01001942,3_reliable_core,1596.90783
E01001943,3_reliable_core,37484.94251
E01001944,0_no_recorded_activity,
E01001945,2_below_reliable_threshold,36.73292
E01001946,2_below_reliable_threshold,2.9833199999999995
E01001947,0_no_recorded_activity,
E01001948,2_below_reliable_threshold,431.70444
E01001949,0_no_recorded_activity,
E01001950,3_reliable_core,841.12909
E01001951,3_reliable_core,624.68008
E01001952,2_below_reliable_threshold,329.07041
E01001953,3_reliable_core,4854.88196
E01001954,3_reliable_core,1300.0722
E01001955,2_below_reliable_threshold,315.00728
E01001956,2_below_reliable_threshold,238.36187
E01001957,2_below_reliable_threshold,78.68509
E01001958,2_below_reliable_threshold,307.41193
E01001959,3_reliable_core,592.92921
E01001960,2_below_reliable_threshold,3.66771
E01001961,2_below_reliable_threshold,13.19898
E01001962,3_reliable_core,972.50622
E01001963,3_reliable_core,671.89131
E01001964,3_reliable_core,572.78758
E01001965,0_no_recorded_activity,
E01001966,3_reliable_core,1272.05321
E01001967,0_no_recorded_activity,
E01001968,2_below_reliable_threshold,349.84524
E01001969,3_reliable_core,1241.48398
E01001970,2_below_reliable_threshold,420.46136
E01001971,3_reliable_core,1053.11236
E01001972,3_reliable_core,1271.59487
E01001973,3_reliable_core,1799.34099
E01001974,3_reliable_core,2121.62889
E01001975,0_no_recorded_activity,
E01001976,2_below_reliable_threshold,325.59695
E01001977,0_no_recorded_activity,
E01001978,3_reliable_core,5286.66198
E01001979,3_reliable_core,10588.33849
E01001980,2_below_reliable_threshold,433.66498
E01001981,3_reliable_core,1084.093
E01001982,3_reliable_core,514.21586
E01001983,3_reliable_core,949.55054
E01001984,3_reliable_core,1126.31815
E01001985,0_no_recorded_activity,
E01001986,2_below_reliable_threshold,375.50609
E01001987,2_below_reliable_threshold,105.25405
E01001988,3_reliable_core,697.26869
E01001989,3_reliable_core,729.90481
E01001990,3_reliable_core,5666.58821
E01001991,3_reliable_core,571.14793
E01001992,2_below_reliable_threshold,267.19275
E01001993,0_no_recorded_activity,
E01001994,2_below_reliable_threshold,421.51921
E01001995,2_below_reliable_threshold,222.3659
E01001996,3_reliable_core,698.05978
E01001997,3_reliable_core,6358.14161
E01001998,0_no_recorded_activity,
E01001999,3_reliable_core,7012.51011
E01002000,0_no_recorded_activity,
E01002001,0_no_recorded_activity,
E01002002,3_reliable_core,12011.17064
E01002003,3_reliable_core,14367.20214
E01002004,0_no_recorded_activity,
E01002005,3_reliable_core,902.5285
E01002006,2_below_reliable_threshold,238.63732
E01002007,3_reliable_core,1266.29813
E01002008,3_reliable_core,1186.60858
E01002009,3_reliable_core,1515.5973
E01002010,3_reliable_core,704.79174
E01002011,3_reliable_core,3134.76712
E01002013,3_reliable_core,1228.37928
E01002014,3_reliable_core,1884.58273
E01002015,3_reliable_core,551.34112
E01002016,0_no_recorded_activity,
E01002017,3_reliable_core,4718.55259
E01002018,0_no_recorded_activity,
E01002019,3_reliable_core,1407.50612
E01002020,3_reliable_core,1639.06847
E01002021,3_reliable_core,513.55637
E01002022,3_reliable_core,9288.0767
E01002023,0_no_recorded_activity,
E01002024,2_below_reliable_threshold,323.04156
E01002025,2_below_reliable_threshold,98.27268
E01002026,3_reliable_core,4407.72796
E01002027,0_no_recorded_activity,
E01002028,3_reliable_core,1294.88201
E01002029,3_reliable_core,24746.07497
E01002030,2_below_reliable_threshold,406.94594
E01002031,3_reliable_core,8270.11243
E01002032,2_below_reliable_threshold,115.31103
E01002033,2_below_reliable_threshold,150.74165
E01002034,3_reliable_core,6181.05566
E01002036,3_reliable_core,570.48626
