lsoa,tier,total_activity
E01000153,2_below_reliable_threshold,15.4195
E01000154,3_reliable_core,1383.21973
E01000156,3_reliable_core,2350.38875
E01000157,0_no_recorded_activity,
E01000158,2_below_reliable_threshold,362.30438
E01000159,2_below_reliable_threshold,68.4619
E01000160,3_reliable_core,748.78141
E01000161,3_reliable_core,1457.63552
E01000162,3_reliable_core,2412.17123
E01000163,0_no_recorded_activity,
E01000164,3_reliable_core,3036.6691
E01000165,0_no_recorded_activity,
E01000166,2_below_reliable_threshold,29.29921
E01000167,2_below_reliable_threshold,99.6601
E01000168,2_below_reliable_threshold,7.77203
E01000169,2_below_reliable_threshold,28.14256
E01000170,2_below_reliable_threshold,320.32971
E01000171,3_reliable_core,1963.27381
E01000172,2_below_reliable_threshold,171.40654
E01000173,2_below_reliable_threshold,95.34957
E01000174,3_reliable_core,967.83578
E01000175,2_below_reliable_threshold,108.3399
E01000176,2_below_reliable_threshold,297.07122
E01000177,0_no_recorded_activity,
E01000178,3_reliable_core,460.39984
E01000179,0_no_recorded_activity,
E01000180,2_below_reliable_threshold,81.14881
E01000181,2_below_reliable_threshold,422.30198
E01000182,3_reliable_core,2495.28448
E01000183,2_below_reliable_threshold,339.1942
E01000184,3_reliable_core,939.01952
E01000185,2_below_reliable_threshold,142.08213
E01000186,2_below_reliable_threshold,399.12785
E01000187,2_below_reliable_threshold,291.48123
E01000188,3_reliable_core,774.62766
E01000189,2_below_reliable_threshold,211.06234
E01000190,2_below_reliable_threshold,85.63829
E01000191,3_reliable_core,466.57572
E01000192,2_below_reliable_threshold,308.11357
E01000193,3_reliable_core,12468.21649
E01000194,3_reliable_core,5443.11521
E01000195,2_below_reliable_threshold,120.58844
E01000196,3_reliable_core,3199.2694
E01000197,2_below_reliable_threshold,375.16219
E01000198,2_below_reliable_threshold,343.29256
E01000199,2_below_reliable_threshold,75.95717
E01000200,2_below_reliable_threshold,374.78258
E01000201,2_below_reliable_threshold,420.5613
E01000202,2_below_reliable_threshold,394.36934
E01000203,3_reliable_core,1699.72201
E01000204,2_below_reliable_threshold,97.86272
E01000205,2_below_reliable_threshold,290.77562
E01000206,2_below_reliable_threshold,359.55705
E01000207,2_below_reliable_threshold,68.37376
E01000208,3_reliable_core,4183.18079
E01000209,2_below_reliable_threshold,64.89417999999999
E01000210,3_reliable_core,1245.78212
E01000211,3_reliable_core,4568.35907
E01000212,2_below_reliable_threshold,233.49864
E01000213,2_below_reliable_threshold,107.95552
E01000214,3_reliable_core,7924.65875
E01000215,3_reliable_core,741.51281
E01000216,0_no_recorded_activity,
E01000217,0_no_recorded_activity,
E01000218,3_reliable_core,1442.586
E01000219,3_reliable_core,664.23193
E01000220,0_no_recorded_activity,
E01000221,3_reliable_core,1934.64814
E01000222,3_reliable_core,1609.52139
E01000223,3_reliable_core,3107.37413
E01000224,3_reliable_core,469.32593
E01000225,2_below_reliable_threshold,36.0027
E01000226,2_below_reliable_threshold,343.66165
E01000227,2_below_reliable_threshold,172.8964
E01000228,2_below_reliable_threshold,207.96003
E01000229,3_reliable_core,519.14689
E01000230,2_below_reliable_threshold,306.61622
E01000231,3_reliable_core,467.43095
E01000232,2_below_reliable_threshold,447.60437
E01000233,3_reliable_core,980.4679
E01000234,2_below_reliable_threshold,260.66019
E01000235,3_reliable_core,1040.9791
E01000236,3_reliable_core,752.52303
E01000237,3_reliable_core,1852.9694
E01000238,2_below_reliable_threshold,91.90459
E01000239,3_reliable_core,1885.7161
E01000240,3_reliable_core,731.79626
E01000241,0_no_recorded_activity,
E01000242,2_below_reliable_threshold,378.26629
E01000243,3_reliable_core,2231.744
E01000244,3_reliable_core,2189.22387
E01000245,3_reliable_core,1040.13065
E01000246,3_reliable_core,667.89406
E01000247,2_below_reliable_threshold,86.41253
E01000248,3_reliable_core,1964.35125
E01000249,2_below_reliable_threshold,46.72251
E01000250,3_reliable_core,5352.18673
E01000251,3_reliable_core,1704.96708
E01000252,2_below_reliable_threshold,92.43814
E01000253,2_below_reliable_threshold,182.99031
E01000254,1_matched_stop_no_activity,
E01000255,3_reliable_core,562.93803
E01000256,3_reliable_core,536.57634
E01000257,3_reliable_core,2127.86866
E01000258,2_below_reliable_threshold,304.20109
E01000259,2_below_reliable_threshold,225.74153
E01000260,3_reliable_core,884.7248000000001
E01000261,2_below_reliable_threshold,382.11927
E01000263,3_reliable_core,568.4509
E01000264,3_reliable_core,5142.70578
E01000265,3_reliable_core,847.79556
E01000266,2_below_reliable_threshold,102.81407
E01000267,2_below_reliable_threshold,72.26597
E01000268,3_reliable_core,2407.74198
E01000269,2_below_reliable_threshold,325.25722
E01000270,2_below_reliable_threshold,108.571
E01000271,3_reliable_core,563.79252
E01000272,2_below_reliable_threshold,18.58698
E01000273,3_reliable_core,2933.17921
E01000274,3_reliable_core,1003.80913
E01000275,2_below_reliable_threshold,26.27982
E01000276,2_below_reliable_threshold,38.5482
E01000277,2_below_reliable_threshold,61.4581
E01000278,2_below_reliable_threshold,397.98922
E01000279,2_below_reliable_threshold,149.44438
E01000280,2_below_reliable_threshold,67.59689999999999
E01000281,3_reliable_core,2030.43782
E01000282,3_reliable_core,955.95496
E01000283,2_below_reliable_threshold,69.39162
E01000284,3_reliable_core,542.02842
E01000285,2_below_reliable_threshold,344.48546
E01000286,2_below_reliable_threshold,242.0914
E01000287,2_below_reliable_threshold,379.89726
E01000288,3_reliable_core,487.3798
E01000289,2_below_reliable_threshold,154.84743
E01000290,2_below_reliable_threshold,226.39878
E01000291,0_no_recorded_activity,
E01000292,2_below_reliable_threshold,303.58691
E01000293,3_reliable_core,896.15356
E01000294,2_below_reliable_threshold,216.83585
E01000295,1_matched_stop_no_activity,
E01000296,3_reliable_core,4759.9607
E01000297,2_below_reliable_threshold,303.71393
E01000298,3_reliable_core,1678.56785
E01000299,0_no_recorded_activity,1946.84192
E01000300,0_no_recorded_activity,
E01000301,3_reliable_core,524.83241
E01000302,3_reliable_core,1521.06896
E01000303,1_matched_stop_no_activity,
E01000304,2_below_reliable_threshold,5.36191
E01000305,3_reliable_core,2113.80899
E01000306,0_no_recorded_activity,
E01000307,3_reliable_core,11782.15421
E01000308,3_reliable_core,1779.16699
E01000309,3_reliable_core,1384.74127
E01000310,3_reliable_core,5703.22978
E01000311,3_reliable_core,1774.42471
E01000312,3_reliable_core,1562.98817
E01000313,3_reliable_core,5339.69844
E01000314,3_reliable_core,1494.03809
E01000315,2_below_reliable_threshold,139.67473
E01000316,3_reliable_core,2704.23241
E01000317,0_no_recorded_activity,
E01000318,3_reliable_core,757.51633
E01000319,1_matched_stop_no_activity,
E01000320,0_no_recorded_activity,
E01000321,3_reliable_core,1621.33394
E01000322,1_matched_stop_no_activity,
E01000323,3_reliable_core,12011.48796
E01000324,3_reliable_core,534.80137
E01000325,2_below_reliable_threshold,137.29124
E01000326,2_below_reliable_threshold,328.52466
E01000327,2_below_reliable_threshold,270.05024
E01000328,2_below_reliable_threshold,34.172329999999995
E01000329,2_below_reliable_threshold,203.62667
E01000330,2_below_reliable_threshold,440.1064
E01000331,2_below_reliable_threshold,290.33471
E01000332,3_reliable_core,853.48136
E01000333,3_reliable_core,935.18222
E01000334,2_below_reliable_threshold,131.25746999999998
E01000335,3_reliable_core,2731.95029
E01000336,3_reliable_core,591.13794
E01000337,2_below_reliable_threshold,78.08517
E01000338,2_below_reliable_threshold,219.70367
E01000339,0_no_recorded_activity,
E01000340,3_reliable_core,472.38566
E01000341,0_no_recorded_activity,
E01000342,2_below_reliable_threshold,31.05818
E01000343,3_reliable_core,584.93606
E01000344,2_below_reliable_threshold,370.8527
E01000345,2_below_reliable_threshold,134.84382
E01000346,1_matched_stop_no_activity,
E01000347,3_reliable_core,784.83937
E01000348,0_no_recorded_activity,
E01000349,2_below_reliable_threshold,310.71995
E01000350,2_below_reliable_threshold,327.55365
E01000351,0_no_recorded_activity,
E01000352,3_reliable_core,544.63974
E01000353,2_below_reliable_threshold,213.95934
E01000354,2_below_reliable_threshold,255.07878
E01000355,0_no_recorded_activity,
E01000356,3_reliable_core,1606.69361
E01000357,2_below_reliable_threshold,28.76459
E01000358,2_below_reliable_threshold,233.07434
E01000359,2_below_reliable_threshold,349.04991
E01000360,3_reliable_core,4688.98768
E01000361,2_below_reliable_threshold,9.14221
E01000362,3_reliable_core,11846.1363
E01000363,2_below_reliable_threshold,96.77814
E01000364,2_below_reliable_threshold,94.31922
E01000365,3_reliable_core,2041.68015
E01000366,0_no_recorded_activity,
E01000367,2_below_reliable_threshold,429.12918
E01000368,0_no_recorded_activity,
E01000369,2_below_reliable_threshold,186.51172
E01000370,3_reliable_core,1266.21623
E01000371,0_no_recorded_activity,
E01000372,2_below_reliable_threshold,48.87334
E01000373,0_no_recorded_activity,
E01000374,2_below_reliable_threshold,280.01104
E01000375,2_below_reliable_threshold,172.83764
E01000376,2_below_reliable_threshold,59.96211
E01000377,2_below_reliable_threshold,31.91282
E01000379,2_below_reliable_threshold,44.96844
E01000380,2_below_reliable_threshold,77.33782
E01000381,2_below_reliable_threshold,61.16364
E01000382,2_below_reliable_threshold,46.83473
E01000383,2_below_reliable_threshold,210.62214
E01000384,2_below_reliable_threshold,402.07389
E01000385,2_below_reliable_threshold,191.63707
E01000386,3_reliable_core,1763.74275
E01000387,2_below_reliable_threshold,21.07151
E01000388,0_no_recorded_activity,
E01000389,3_reliable_core,863.74016
E01000390,2_below_reliable_threshold,53.32964
E01000391,2_below_reliable_threshold,15.49985
E01000392,3_reliable_core,3536.46264
E01000393,0_no_recorded_activity,
E01000394,2_below_reliable_threshold,327.06562
E01000395,0_no_recorded_activity,
E01000396,2_below_reliable_threshold,38.35179
E01000398,2_below_reliable_threshold,229.28884
E01000399,3_reliable_core,667.82449
E01000400,3_reliable_core,942.92651
E01000401,2_below_reliable_threshold,120.87658
E01000402,2_below_reliable_threshold,207.02062
E01000403,3_reliable_core,4149.30498
E01000404,3_reliable_core,1120.27159
E01000405,2_below_reliable_threshold,302.38291
E01000406,3_reliable_core,870.49512
E01000407,2_below_reliable_threshold,328.84312
E01000408,3_reliable_core,1372.78655
E01000409,2_below_reliable_threshold,386.64275
E01000410,2_below_reliable_threshold,81.35236
E01000411,2_below_reliable_threshold,102.98946
E01000412,2_below_reliable_threshold,191.73711
E01000413,2_below_reliable_threshold,193.55277
E01000414,3_reliable_core,3883.41103
E01000415,2_below_reliable_threshold,56.2148
E01000416,3_reliable_core,4042.68555
E01000417,3_reliable_core,7559.23594
E01000418,3_reliable_core,542.43716
E01000419,2_below_reliable_threshold,105.81134
E01000420,2_below_reliable_threshold,353.35952
E01000421,2_below_reliable_threshold,195.00772
E01000422,3_reliable_core,952.97961
E01000423,2_below_reliable_threshold,213.02957
E01000424,2_below_reliable_threshold,28.00585
E01000425,2_below_reliable_threshold,17.26596
E01000426,2_below_reliable_threshold,434.8384
E01000427,2_below_reliable_threshold,157.45412
E01000428,3_reliable_core,2880.97809
E01000429,2_below_reliable_threshold,271.30512
E01000430,3_reliable_core,458.63513
E01000431,2_below_reliable_threshold,93.68356
E01000433,3_reliable_core,1213.23731
E01000434,3_reliable_core,574.49113
E01000435,2_below_reliable_threshold,175.29532
E01000436,2_below_reliable_threshold,193.76675
E01000437,2_below_reliable_threshold,29.36103
E01000438,0_no_recorded_activity,
E01000439,3_reliable_core,1020.28219
E01000440,2_below_reliable_threshold,44.98039
E01000441,0_no_recorded_activity,
E01000442,3_reliable_core,679.27506
E01000443,2_below_reliable_threshold,231.78226
E01000444,2_below_reliable_threshold,270.26366
E01000445,2_below_reliable_threshold,261.50063
E01000446,1_matched_stop_no_activity,
E01000447,3_reliable_core,1188.07438
E01000448,2_below_reliable_threshold,368.20117
E01000449,2_below_reliable_threshold,187.81414
E01000450,2_below_reliable_threshold,76.54092
E01000451,3_reliable_core,913.10397
E01000452,2_below_reliable_threshold,145.55882
E01000453,0_no_recorded_activity,
E01000454,2_below_reliable_threshold,419.62779
E01000455,2_below_reliable_threshold,126.41624
E01000456,2_below_reliable_threshold,51.06501
E01000457,3_reliable_core,2900.7834
E01000458,1_matched_stop_no_activity,
