K,BIC,scan_BIC,labels_from,silhouette,davies_bouldin,activity_eta2,min_cluster_share,post_midnight_share_eta2,deep_night_share_eta2,post_midnight_persistence_eta2,direction_balance_eta2,weekend_ratio_eta2,timing_mean_eta2,bootstrap_ari_mean,bootstrap_ari_sd,bootstrap_min_cluster_jaccard_mean,calinski_harabasz,ARI_mean,ARI_sd
2,-1768463.9715903264,-1768463.9715903264,scan,0.1144782325815539,3.62425597902484,0.412871950127688,0.4283180608926988,0.3272489166716477,0.2831243250127965,0.28557065686112,0.0263324502411968,0.0185825169524639,0.2986479661818547,0.693953243097637,0.3082374313347735,0.7960459545526664,227.15924328214479,0.693953243097637,0.3082374313347735
3,-1781394.8469527627,-1781315.4153199934,refit,0.0657212370268325,6.523176591756328,0.4960314217766942,0.1415903044634939,0.4171648578461242,0.4061570955471497,0.3644636403281972,0.0281572496250902,0.0207881540156127,0.3959285312404903,0.8558239642236198,0.0292452523189959,0.7980939183640576,128.61961258591714,0.8558239642236198,0.02924525231899592
4,-1773672.2847021257,-1772202.5199867142,refit,0.0244714251266634,5.764407300741231,0.5410775949838919,0.078332840673958,0.4504688323327271,0.4145089648496409,0.4019140521847216,0.0541920534162417,0.0367570026780247,0.4222972831223632,0.719905632849053,0.0545778485081687,0.4295178455560295,102.51549874552909,0.719905632849053,0.05457784850816876
5,-1758345.5458584933,-1758345.5458584933,scan,0.0211235528026134,4.637052223272605,0.5393605364175242,0.0472953000295595,0.4540749484745109,0.4340380458223421,0.41652589128891,0.0713417023793972,0.0559440289589182,0.4348796285285877,0.7554270946463415,0.0205102042369444,0.1517850858073231,97.60254034545514,0.7554270946463415,0.020510204236944458
6,-1743296.2302463187,-1743296.2302463187,scan,0.0101697914616504,4.426880509286433,0.5518935051728617,0.0348802837718001,0.516391290347296,0.4848791760947318,0.4927499182262265,0.1019936443531438,0.0872523412901113,0.498006794889418,0.7112197370436644,0.0475584589070111,0.0743116122050429,88.71219853654321,0.7112197370436644,0.047558458907011165
7,-1731895.2154906143,-1731895.2154906143,scan,-0.0153751396839961,5.180069237857806,0.5992618337869577,0.0292639668932899,0.4819963679175429,0.4560996807993974,0.4316169006741496,0.0773996017385688,0.0716008301984784,0.4565709831303633,0.5147417937937948,0.0302410310057999,0.0725933527940625,80.53555589342585,0.5147417937937948,0.030241031005799925
8,-1716741.295075994,-1716741.295075994,scan,-0.0424437569363268,5.397419185766401,0.629637977593514,0.026899201891812,0.5258236529360822,0.4775296886893864,0.4910060452702531,0.088845367698045,0.1086954771588826,0.4981197956319072,0.4784682571334688,0.0399585031595068,0.057083480478619,78.23607616044232,0.4784682571334688,0.039958503159506796
9,-1701008.1438828916,-1701008.1438828916,scan,-0.0249969131735967,4.504561345206633,0.6067413716095574,0.0239432456399645,0.5381600696212666,0.4879878623896483,0.5032073330526803,0.0939912391936437,0.0943057626604209,0.5097850883545317,,,,70.80589778894819,,
10,-1685501.351434959,-1685501.351434959,scan,-0.013989838332559,4.569689502714398,0.5813645054249071,0.0239432456399645,0.545455582106313,0.5011380453278339,0.5137594594809808,0.0896983424392358,0.1294905918712371,0.5201176956383758,,,,68.60817639092694,,
11,-1668501.3248171126,-1668501.3248171126,scan,-0.0276562987173311,4.72890831504888,0.5855011736119146,0.0271947975169967,0.5075814500616271,0.4689279460596027,0.4788866302029811,0.1307530157416602,0.1578191969875626,0.485132008774737,,,,66.28448963942945,,
12,-1653427.710869712,-1653427.710869712,scan,-0.029836089675975,4.426006762032094,0.6119408502007688,0.020987289388117,0.5448970286271309,0.5072952980066847,0.5129678013660333,0.1068702564868733,0.1971082764627153,0.5217200426666163,,,,63.4086105070782,,
