K,n_init,seeds,best_seed,best_BIC,worst_BIC,BIC_range_across_seeds,improvement_over_scan_BIC,ari_vs_scan,scan_BIC
3,100,"[42, 7, 123, 2026, 999]",7,-1781394.8469527627,-1781317.377335958,77.4696168047376,79.43163276929408,0.9812836393197837,-1781315.4153199934
4,100,"[42, 7, 123, 2026, 999]",7,-1773672.2847021257,-1772320.7946941892,1351.4900079364888,1469.7647154114675,0.7744037844659099,-1772202.5199867142
