cluster,n,share_%,median_total_activity,post_midnight_share,deep_night_share,direction_balance,weekend_ratio,zero_bin_share,km_to_centre,post00_wkdy,post00_sat,post00_sun
C0,1209,35.854092526690394,2521.1089,0.1337066095049288,0.0771414400755107,-0.07274009765873994,0.822562491355754,0.0007007627975369869,10.06582967455048,0.16128915872351715,0.11343369645267805,0.21439766700522137
C1,377,11.180308422301305,395.83804,0.10449408512656871,0.06743465572680032,-0.11667178436564923,0.7727099005246386,0.1191791924550545,13.863939457369208,0.14558200016437411,0.07562914342950122,0.20842063277478412
C2,739,21.915776986951364,267.00339,0.06398956183090083,0.04141368829849724,-0.19537234385026425,0.7461454828463857,0.35573597955194713,15.015500198300415,0.12188957091060303,0.019143635944580056,0.17404795051969554
C3,633,18.772241992882563,705.8817,0.11890158166305748,0.07194213248117735,-0.133061470671667,0.8043374368374958,0.023477268737932183,11.827072798815959,0.16790824906093246,0.09906057370086511,0.22373735799987363
C4,414,12.277580071174377,581.19494,0.09242329232531106,0.06043233134978509,-0.15804988439491974,0.7678794700784014,0.23839237788513146,14.097349882791226,0.1609929287231652,0.054349863150653405,0.21854694125007307
