cluster,DUN,LOU,DRN,CRN,ACS,WAL,REU,OPS,DIS,URB,MEU,OTHER_RARE
0,131.58380135973988,99.62518474726573,99.26810523204257,62.66745492166716,46.06325746378953,50.52675140407922,35.70795152231747,29.280520248300324,23.388708247117943,10.712385456695241,8.74844812296778,6.427431274017144
1,247.046408513154,187.0446349394029,186.3742240614839,117.6571090747857,86.48300325155188,94.86313922553946,67.04108779190068,54.97369198935856,43.91191250369494,20.112326337570202,16.425066509015668,12.067395802542123
2,232.88590008867868,176.3233816139521,175.6913981673071,110.91309488619568,81.52586461720367,89.42565770026603,63.19834466449897,51.82264262488915,41.39491575524682,18.95950339934969,15.483594442802247,11.375702039609815
3,125.48389003842743,95.00679869937925,94.66627253916641,59.76234111735146,43.92787466745492,48.18445167011528,34.05261602128289,27.923145137451964,22.30446349394029,10.215784806384866,8.342890925214308,6.129470883830919
