mode,cluster,signature_code,enrichment
bus,0,COA,4.910972993387292
bus,0,URB,2.8336563605254237
bus,0,ACS,2.185201359044979
bus,1,HDU,2.974768282181048
bus,1,DIU,2.344900623346796
bus,1,MEU,1.8074769030845963
bus,2,WAL,1.1902425732232196
bus,2,DIS,1.1530753694692866
bus,2,REU,1.1158924134852517
bus,3,GRQ,1.9303463009288504
bus,3,CRN,1.4233256931229623
bus,3,OPS,1.3755318117511304
