cluster,COA,ACS,OPS,WAL,GRQ,URB,DIS,DRN,CRN,DUN,LOU,DIU,REU,MEU,HDU
0,0.001235429275472378,0.17168909257124518,0.0923580700212816,0.11593375742046748,0.0027238500593266806,0.04406841991151739,0.06255122983483884,0.1430507525068587,0.12993495815678605,0.1456725576750566,0.06540074604651006,0.001143967355410613,0.01733268694572407,0.0069044822195043955,0.0
1,0.0,0.018773555609349894,0.017730191960872284,0.04547042652385743,0.0035306661271259938,0.002599013409109384,0.019315357702271056,0.14454501853848015,0.08131093304478369,0.27058054974043305,0.2615390289256615,0.012663031407416068,0.09281466643377215,0.02561579472295275,0.0035117658539145697
2,1.4431554622436905e-06,0.08041016993534596,0.05122083997770319,0.09680697735849442,0.004971557016134958,0.011534868690759908,0.04891453610649756,0.17570342661250377,0.09000634715922512,0.19878728881583502,0.1604552756758966,0.0026181239704024086,0.06626971570673126,0.012288814252746623,1.0615566260985738e-05
3,0.00017934483255767713,0.0952275038027158,0.06936632127462547,0.08694133197787356,0.009318526555432215,0.018604711238319346,0.05474970125613274,0.1798075582976745,0.14821189777999835,0.21179485682904967,0.09740913791541483,0.0007281442588258596,0.024902371250558365,0.0027585927308216036,0.0
