unit,cluster,max_posterior,entropy,Station,mode_label,is_lu,easting,northing,lon,lat,matched_name,coord_source,total_activity,distance_centre_km,catchment_area_m2,station_in_london,equal_COA,equal_ACS,equal_OPS,equal_WAL,equal_GRQ,equal_URB,equal_DIS,equal_DRN,equal_CRN,equal_DUN,equal_LOU,equal_DIU,equal_REU,equal_MEU,equal_HDU,area_COA,area_ACS,area_OPS,area_WAL,area_GRQ,area_URB,area_DIS,area_DRN,area_CRN,area_DUN,area_LOU,area_DIU,area_REU,area_MEU,area_HDU,covered_area_m2,coverage_ratio,signature_dominant_equal,signature_dominant_area,signature_dominant_agreement,signature_dominant_collapsed
1409,2,1.0,1.257726358902054e-16,Gospel Oak,LO,False,528285.0,185645.0,-0.151,51.55511,Gospel Oak Station,naptan_rse_tmu,8294.590337967784,5.581178818135108,1095919.6320113528,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010963677892274558,0.012408456444968291,0.2799963746983672,0.6966173151850662,0.0,1.4175779323685255e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015952510926295797,0.015174162968079835,0.575979479774486,0.3928936028344987,0.0,2.434966396202703e-07,0.0,0.0,1095919.632011345,0.9999999999999928,LOU,DUN,False,LOU
1413,2,1.0,1.3277916330781726e-33,Hampstead Heath,LO,False,527263.0,185652.0,-0.16573,51.55541,Hampstead Heath Station,naptan_rse_tmu,9045.7145170258,6.003929546555322,973586.3432940474,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.612796522676026e-05,0.0,0.6702490538270124,0.3296648182077609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031243751541289676,0.0,0.8776838300668872,0.12200373241769998,0.0,0.0,0.0,0.0,973586.343294049,1.0000000000000018,DUN,DUN,True,DUN
1415,2,0.9999999999949978,1.3618037528866942e-10,Kilburn High Road,LO,False,525448.0,183602.0,-0.19262,51.53739,Kilburn High Road Station,naptan_rse_tmu,2944.236364429399,5.687382965828835,662845.4826482318,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24313825492726276,0.7568617450727372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2267535947406298,0.77324640525937,0.0,0.0,0.0,0.0,662845.482648233,1.0000000000000018,LOU,LOU,True,LOU
1429,2,1.0,8.617224441346934e-21,Dalston Kingsland,LO,False,533525.0,185013.0,-0.0757,51.54822,Dalston Kingsland Station,naptan_rse_tmu,27342.53706549329,5.742197924140198,833881.0889079579,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006644634258997262,0.9933553657410027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43436078388894e-05,0.9999756563921611,0.0,0.0,0.0,0.0,833881.0889079776,1.0000000000000235,LOU,LOU,True,LOU
1434,4,0.9999925195536552,9.577375788525222e-05,Headstone Lane,LO,False,513890.5,190580.0,-0.356925,51.60255,Headstone Lane Station,naptan_rse_tmu,1896.592803514509,19.18102430137661,1816850.2758380536,True,0.0,0.16091589730797615,0.054110049517508065,0.43379971524333943,0.0,0.027083996540551856,0.0,0.06161798181607939,0.26244643373562465,2.5925838920466667e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.09753825291134736,0.05635985259371108,0.6102695262791127,0.0,0.000725536641360071,0.0,0.07246246086063551,0.16263746152550912,6.909188324207946e-06,0.0,0.0,0.0,0.0,0.0,1816850.2758380452,0.9999999999999953,WAL,WAL,True,WAL
1437,2,1.0,5.761788849666011e-15,Brondesbury,LO,False,524781.0,184460.0,-0.20193,51.54525,Brondesbury Station,naptan_rse_tmu,9020.71768084669,6.7312086581831645,499842.8537522239,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032144929882561017,0.09224518253463733,0.9045403244771065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027873726621670206,0.059482439307203275,0.9377301880306297,0.0,0.0,0.0,0.0,499842.8537522519,1.000000000000056,LOU,LOU,True,LOU
1438,2,1.0,5.69184338933282e-14,Brondesbury Park,LO,False,524240.0,183966.0,-0.2099,51.54093,Brondesbury Park Station,naptan_rse_tmu,4205.31611649326,6.899696007796286,866202.8228645482,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2607879479854142,0.32174022805759617,0.4174718239569897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39965676166572406,0.37769500887925095,0.22264822945502485,0.0,0.0,0.0,0.0,866202.8228645494,1.0000000000000013,LOU,CRN,False,LOU
1439,2,1.0,6.924097058953092e-29,Caledonian Road & Barnsbury,LO,False,530771.0,184379.0,-0.11563,51.54317,Caledonian Road & Barnsbury Station,naptan_rse_tmu,8483.48134668194,4.050403560140643,1268743.587755758,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0207655611423437,0.6216777328144365,0.0,0.35755670604321976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003061258320689662,0.8008385005942664,0.0,0.19610024108504387,0.0,0.0,1268743.5877557506,0.9999999999999941,LOU,LOU,True,LOU
1440,2,1.0,7.739391571482418e-45,Camden Road,LO,False,529182.0,184174.0,-0.1386,51.54169,Camden Road Station,naptan_rse_tmu,17631.7438585111,3.9125859734963013,851927.1246443423,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07278461484880229,0.6904007617053916,0.0,0.23681462344580625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0834368783804096,0.6313487166764864,0.0,0.28521440494310407,0.0,0.0,851927.1246443356,0.9999999999999921,LOU,LOU,True,LOU
1441,4,1.0,3.832409849688942e-20,Canonbury,LO,False,532397.0,185039.0,-0.09195,51.54872,Canonbury Station,naptan_rse_tmu,11526.9840725646,5.180421700981495,1431951.8351722045,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1431951.8351721813,0.9999999999999838,LOU,LOU,True,LOU
