raw_K,ilr_K,ARI,NMI,best_match_count,best_match_share,weakest_matched_cluster_jaccard
5,2,0.07544903478290377,0.0932274799849823,,,
5,3,0.21753309143391686,0.28098498234896485,,,
5,4,0.3067293719627727,0.3436821137832328,,,
5,5,0.21552934479528815,0.3511187214905124,138.0,0.5111111111111111,0.2073170731707317
5,6,0.22313071098796264,0.34462997492352593,,,
5,7,0.2178097174903471,0.3552775145672842,,,
5,8,0.18857980456449117,0.33389571578192284,,,
5,9,0.15708499822488117,0.3329454437193915,,,
5,10,0.19821660575640604,0.3461728211385621,,,
5,11,0.18610680249478445,0.34198372928185555,,,
5,12,0.19494342661106315,0.33389042392471885,,,
6,2,0.07867658637192493,0.11863363381795995,,,
6,3,0.21733884630751982,0.2929503746208022,,,
6,4,0.3125222622575604,0.35092119401183,,,
6,5,0.21780291084328987,0.35395063795412274,,,
6,6,0.220865920804554,0.36024771850877146,112.0,0.4148148148148148,0.0
6,7,0.2218119194941364,0.3724947039565787,,,
6,8,0.1927077720519475,0.3521280778230042,,,
6,9,0.16305947306685534,0.34856879908890287,,,
6,10,0.2071396825940165,0.37248188442495084,,,
6,11,0.19546244948197555,0.3747470594892959,,,
6,12,0.20473511561589408,0.3733512693580286,,,
