K,runs,ARI_mean,ARI_sd,ARI_median,ARI_q025,ARI_q975,ARI_min,ARI_max,min_jaccard_mean,min_jaccard_sd,min_jaccard_median,min_jaccard_q025,min_jaccard_q975,min_jaccard_min,min_jaccard_max,BIC_mean,BIC_sd,BIC_median,BIC_q025,BIC_q975,BIC_min,BIC_max,convergence_rate,total_convergence_warnings
3,20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,76238.15141469095,1.8950594422784693e-09,76238.151414691,76238.15141468882,76238.15141469284,76238.15141468882,76238.15141469284,1.0,0
4,20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,67853.1992191154,1.139490228422253e-09,67853.19921911579,67853.199219112,67853.19921911579,67853.199219112,67853.19921911579,1.0,0
5,20,0.5443222037889169,0.1049946373139743,0.5187615428191854,0.5111871893062537,0.7825327482460623,0.5103886321228533,1.0,0.05,0.21794494717703364,0.0,0.0,0.5249999999999986,0.0,1.0,63208.632323238264,248.59767978892614,63227.02993357839,62922.44305742337,63501.1264190634,62906.36369799455,63502.40139602577,1.0,0
6,20,0.8077948087323877,0.10864120560685236,0.7863969355262055,0.6303042022950495,0.9508337704813751,0.5937776340200067,0.9508337704813751,0.6746433576789307,0.22100391902130376,0.6486486486486487,0.24391891891891893,0.9230769230769231,0.0,0.9230769230769231,59181.343977995086,983.8496713166471,59054.79814756079,58562.01181019559,61791.00901680106,58561.052758489954,63090.57671129741,1.0,0
7,20,0.7220298491076897,0.10125405114310346,0.6927747919351702,0.556729983816606,0.8761878802379435,0.5283135553784102,0.8867908519065442,0.33851435715058975,0.27906509103723637,0.3953488372093023,0.0,0.7514071294559099,0.0,0.7692307692307693,59000.078977865436,643.3791434110616,59023.53001064752,57662.28073005932,59866.62813673269,57255.455440721715,59988.714217903,1.0,0
8,20,0.7178123199184352,0.08770329789210649,0.7103237632598458,0.575430421064502,0.8792453747299297,0.5618022771898561,0.9004510660969689,0.05390559732664996,0.14680513228689268,0.0,0.0,0.46729323308270626,0.0,0.631578947368421,58903.19619542172,640.563824435636,58986.9118241902,57493.95911802645,59767.46918996676,57430.441880955696,59827.241148118555,1.0,0
