lsoa21cd,cluster,max_posterior,entropy,tot_boardings,tot_alightings,total_activity,lad22cd,lnc_grp
E01000001,1,1.0,5.036394846282373e-17,1752.0304699999997,1034.11056,2786.14103,E09000001,1
E01000002,2,1.0,2.5155320440938773e-24,71.70143999999999,33.04689,104.74832999999998,E09000001,1
E01000005,1,1.0,2.335317845377956e-20,6021.373470000001,6358.735539999999,12380.10901,E09000001,1
E01000007,1,0.9999999954641794,9.16747245725526e-08,6752.28858,3382.3220200000005,10134.6106,E09000002,1
E01000009,1,1.0,1.2096882880581955e-21,5629.766900000001,6736.759330000002,12366.526230000003,E09000002,2
E01000011,1,0.9920929806215067,0.0461456846890628,360.1349,300.5427700000001,660.67767,E09000002,4
E01000012,1,1.0,1.1593630583289513e-18,453.93178000000006,1055.28905,1509.2208300000002,E09000002,4
E01000013,1,0.9999999990916422,1.982028143727089e-08,2851.8937899999987,1914.16872,4766.062509999999,E09000002,4
E01000015,0,1.0,-0.0,1.53776,0.27312,1.81088,E09000002,4
E01000016,2,1.0,1.1848877370892279e-25,60.60476,50.10079999999999,110.70556,E09000002,5
E01000017,1,0.999999999994884,1.376910042284159e-10,478.37063000000006,790.49981,1268.87044,E09000002,5
E01000018,2,1.0,5.5926569403488205e-14,81.58763000000002,157.89174000000003,239.47937000000005,E09000002,4
E01000019,2,0.9864316754715468,0.071819885599455,108.87362000000002,123.53927,232.41289,E09000002,5
E01000020,2,1.0,7.047075820407586e-17,146.34117,197.01647,343.35763999999995,E09000002,4
E01000021,1,0.9999944375240468,7.286545583031158e-05,249.22105,318.27825000000007,567.4993000000001,E09000002,5
E01000024,1,1.0,5.0563976983285896e-20,830.26479,940.4639500000002,1770.72874,E09000002,5
E01000027,1,1.0,4.7069522588186514e-17,677.9397000000001,1135.25859,1813.19829,E09000002,7
E01000029,1,0.9999999923032306,1.5149182226322542e-07,215.59393,559.71493,775.30886,E09000002,5
E01000030,1,0.9999999089652688,1.5668920944050962e-06,197.89828,502.2738700000001,700.1721500000001,E09000002,6
E01000031,1,0.9999999999844248,4.045940276771043e-10,130.83197,195.28832,326.12029,E09000002,5
E01000032,1,1.0,1.6836185332547508e-15,311.8444599999999,285.97339,597.8178499999999,E09000002,4
E01000034,1,0.9992126453577976,0.0064141357804445,372.9371,562.9557200000003,935.8928200000004,E09000002,6
E01000035,1,0.999999999995964,1.1038213162048851e-10,694.1173,865.2506599999998,1559.3679599999998,E09000002,5
E01000036,1,0.979336543891238,0.1006100560142361,688.2474999999998,689.43792,1377.6854199999998,E09000002,5
E01000038,1,0.9999988873449234,1.6365777168577065e-05,118.46068999999996,157.92192999999995,276.3826199999999,E09000002,5
E01000039,2,1.0,2.6379520552157883e-31,18.86636,9.275619999999998,28.14198,E09000002,7
E01000040,1,0.9999999954831084,9.131049967320029e-08,331.11322000000007,586.32963,917.44285,E09000002,5
E01000041,1,0.99998038257065,0.0002322523609451,146.96089,310.33889000000005,457.29978000000006,E09000002,5
E01000042,2,0.999944601436892,0.0005983559581356,109.68860999999998,223.6382800000001,333.32689000000005,E09000002,5
E01000043,2,0.9999999999984084,4.4235362509507765e-11,108.08937,124.63329,232.72266,E09000002,6
E01000045,1,0.9999999994455492,1.2371246049043705e-08,617.61221,696.5997499999999,1314.21196,E09000002,5
E01000049,2,1.0,3.737359964434354e-16,89.48281,34.53660000000001,124.01941,E09000002,5
E01000050,1,1.0,1.673498209613896e-13,1128.75595,1399.6947200000006,2528.4506700000006,E09000002,4
E01000052,1,1.0,1.934774256282137e-14,442.62109,764.76649,1207.38758,E09000002,4
E01000053,1,0.9968860605190224,0.0210823295410572,328.1718699999999,325.9229900000001,654.0948599999999,E09000002,3
E01000056,2,1.0,1.4352835783295738e-18,28.52027,20.35541,48.87568,E09000002,5
E01000057,1,0.999207310405574,0.0064522415367132,148.52031,150.62524999999997,299.14555999999993,E09000002,4
E01000058,1,0.980537238592378,0.0959408488668043,136.87653000000003,195.7728,332.6493300000001,E09000002,5
E01000060,1,1.0,4.124947593847702e-23,2156.48855,2529.3057800000006,4685.794330000001,E09000002,5
E01000061,1,1.0,1.125175167605569e-18,720.2581499999999,874.0520500000001,1594.3102,E09000002,6
E01000062,2,1.0,9.321207194984613e-23,21.37593,130.77705999999998,152.15299,E09000002,4
E01000063,0,0.998883143379798,0.0087077719897823,225.45502,75.39097,300.84599,E09000002,5
E01000064,1,0.9999989550027866,1.5436171957220137e-05,373.70453,472.94702,846.65155,E09000002,3
E01000065,1,0.9999999985067234,3.1839757545449915e-08,193.04520999999997,316.9174300000001,509.96264,E09000002,5
