cluster,lnwc_group,enrichment_ratio
0,4,1.4480245266398892
0,5,1.3311530692621334
1,3,2.221646012898011
1,1,2.0997577641348584
2,1,1.6503218354133262
2,2,1.4678364777648458
3,1,3.1241245987464126
3,2,0.6859972962279136
4,7,3.833098230620735
4,6,3.275907209435715
