lsoa,retained_for_fit,min_direction_activity,cluster
E01000246,True,40.73033999999999,0
E01000247,False,27.85579,-1
E01000248,True,1070.43675,0
E01000250,True,3204.2747700000004,1
E01000251,True,728.4138399999999,1
E01000252,True,40.08118999999999,0
E01000253,True,87.87631999999998,0
E01000255,True,204.72815,0
E01000256,True,206.57972000000004,0
E01000257,True,1071.6245,1
E01000258,True,114.17688,0
E01000259,True,195.52756000000005,0
E01000260,True,247.9143699999999,1
E01000261,True,169.25179999999995,0
E01000263,True,234.69831,1
E01000264,True,2249.24951,1
E01000265,True,374.63472,1
E01000266,True,50.4556,0
E01000267,False,34.756919999999994,-1
E01000268,True,1033.43953,1
E01000269,True,183.49318999999997,2
E01000270,False,30.63264000000001,-1
E01000271,True,130.23927000000003,0
E01000273,True,1147.7167599999998,1
E01000274,True,285.58890999999994,0
E01000277,False,19.70144,-1
E01000278,True,170.98880999999997,0
E01000279,True,80.31837,0
E01000280,False,31.545439999999985,-1
E01000281,True,1227.5244700000003,1
E01000282,True,333.67252,1
E01000283,False,33.122440000000005,-1
E01000284,True,255.38875,1
E01000285,True,49.94531,0
E01000286,True,200.56593,0
E01000287,False,35.222840000000005,-1
E01000288,True,157.80644000000004,0
E01000289,True,54.68422999999999,0
E01000290,True,74.37133999999999,0
E01000292,True,85.9777,0
E01000296,True,1999.47876,1
E01000297,True,119.43301999999998,0
E01000298,True,970.61213,1
E01000299,True,1217.19798,1
E01000301,True,81.55503999999998,0
E01000302,True,631.89002,1
E01000305,True,772.5166499999998,1
E01000307,True,5410.89257,0
E01000309,True,272.4312,2
E01000313,True,3464.1419200000005,1
E01000314,True,763.9781899999999,1
E01000315,True,70.93269000000001,0
E01000316,True,1421.2966800000002,1
E01000318,True,154.84185000000002,0
E01000321,True,534.1638,1
E01000323,True,5574.503919999999,1
E01000324,True,170.07541,1
E01000325,True,56.98804999999998,0
E01000326,True,111.22655,0
E01000327,True,68.26937999999997,0
E01000329,True,83.41532000000001,0
E01000330,True,232.59650999999997,0
E01000331,True,133.60773999999995,2
E01000332,True,281.11125,1
E01000333,True,342.6164600000001,0
E01000334,True,42.11097000000001,0
E01000335,True,1238.33217,2
E01000336,True,277.6391,2
E01000338,True,57.91638999999999,0
E01000340,True,166.19257000000002,1
E01000343,True,91.86033999999997,2
E01000344,True,123.07661000000002,0
E01000345,True,55.17793,0
E01000347,True,464.7293600000001,1
E01000349,True,81.90158,0
E01000350,True,147.83437999999998,0
E01000352,True,303.9549599999999,0
E01000353,True,56.26424,0
E01000354,True,79.40471999999998,0
E01000356,True,677.59284,1
E01000358,True,73.29432000000001,0
E01000359,True,74.11620999999998,0
E01000360,True,2302.45128,1
E01000362,True,5067.654290000001,1
E01000363,True,47.29050999999999,0
E01000364,False,22.88764,-1
E01000365,False,26.39375,-1
E01000367,True,129.46309,2
E01000369,True,81.72758000000002,2
E01000370,True,593.55291,1
E01000374,True,91.78179000000004,0
E01000375,True,57.70517,2
E01000376,False,20.41316,-1
E01000380,False,29.66767,-1
E01000381,False,28.27117,-1
E01000383,True,107.05416,0
E01000384,True,147.90262,0
E01000385,True,91.47426,0
E01000386,True,742.76612,1
E01000389,True,327.81138000000004,1
E01000392,True,1646.4324799999995,1
E01000394,True,222.28703,0
E01000398,True,79.80932000000001,0
E01000399,True,255.60926,1
E01000400,True,460.7122799999999,1
E01000402,True,84.13912999999997,2
E01000403,True,1889.9522900000004,1
E01000404,True,415.79597999999993,0
E01000405,True,113.71985,2
E01000406,True,282.43227,2
E01000407,True,195.59214,0
E01000408,True,514.18841,2
E01000409,True,191.03456,0
E01000410,False,33.48219,-1
E01000412,True,68.7905,0
E01000413,True,74.46118000000001,2
E01000414,True,1866.01,1
E01000416,True,1709.7339100000004,1
E01000417,True,362.1885999999999,1
E01000418,True,114.43204,2
E01000420,True,92.97022,2
E01000421,True,64.72449999999999,0
E01000422,True,547.55069,1
E01000423,True,50.940380000000005,2
E01000426,True,223.36828,0
E01000427,True,51.298460000000006,2
E01000428,True,1290.0768700000003,1
E01000429,True,113.28712,2
E01000430,True,194.99244,2
E01000431,True,40.62183999999999,0
E01000433,True,521.8974099999999,1
E01000434,True,639.49323,1
E01000436,True,73.71686,0
E01000439,True,306.28706000000005,1
E01000441,True,56.28747000000001,2
E01000442,True,272.05382999999995,1
E01000443,True,60.24231999999999,0
E01000444,True,57.43062999999999,0
E01000445,True,128.58076999999997,0
E01000447,True,603.3817599999998,1
E01000448,True,171.73566,0
E01000450,True,136.46937999999997,0
E01000451,True,286.12809,2
E01000454,True,196.2329,0
E01000455,True,122.65865,0
E01000456,False,30.20256,-1
E01000457,True,1400.18413,1
E01000459,True,300.87607999999994,0
E01000461,True,104.53312,0
E01000462,True,1819.4059100000004,1
E01000463,True,74.64916999999998,0
E01000464,False,19.80653,-1
E01000465,True,232.13619000000003,0
E01000466,True,351.97398,0
E01000467,True,885.9966000000002,1
E01000469,True,319.7773,1
E01000470,True,505.5361499999999,1
E01000472,True,1737.4152500000002,1
E01000473,True,3602.38797,1
E01000475,True,180.19183,2
E01000476,True,148.72547999999995,0
E01000477,True,210.57422000000005,0
E01000478,True,151.60096,0
E01000479,True,444.7485299999999,1
E01000480,True,223.95796,0
E01000481,True,1619.18578,1
