K,cluster,n,share,mean_silhouette,relative_compactness_vs_sample
2,0,1170,0.3476968796433878,0.10235645004402356,1.0151842500260084
2,1,2195,0.6523031203566122,0.24969490181334159,0.8428167306597915
3,0,1136,0.33759286775631503,0.08773260978406228,1.010005165095122
3,1,1309,0.3890044576523031,0.2400462517260091,0.6923346918834132
3,2,920,0.27340267459138184,-0.13501975933429503,1.0388358883987099
4,0,213,0.06329866270430906,-0.2088107223686083,1.3828886761361836
4,1,939,0.27904903417533433,-0.0739567046685483,0.8917104060503983
4,2,1079,0.3206537890044577,0.1798205559315882,0.6789379717558084
4,3,1134,0.336998514115899,0.08251831069738827,0.9973506662450038
5,0,508,0.15096582466567607,0.02988138881777978,0.941696779175927
5,1,912,0.27102526002971766,-0.04897043682348175,0.8232317301509442
5,2,943,0.2802377414561664,0.15148553208102788,0.6638744589909881
5,3,348,0.10341753343239227,-0.20282587304506883,1.2791840781974817
5,4,654,0.19435364041604755,0.020219260636659502,1.0104843115678372
6,0,63,0.018722139673105497,-0.12216394151842898,1.3134588326127297
6,1,1061,0.3153046062407132,0.1896494730469511,0.6691086945759726
6,2,474,0.14086181277860327,0.05813885951850224,0.9024590886190076
6,3,891,0.2647845468053492,-0.08538447443927946,0.8959393962631381
6,4,228,0.06775631500742942,-0.1817191351608365,1.2133543442773302
6,5,648,0.19257057949479942,0.0010811590897381565,1.0069272213348974
7,0,121,0.035958395245170874,-0.09620867969882772,1.0742435085267796
7,1,549,0.16315007429420506,0.10781250725450496,0.6453343414025227
7,2,595,0.17682020802377416,0.016328914992254577,0.935452020326477
7,3,390,0.11589895988112928,-0.06655104193425018,0.9120377062061813
7,4,552,0.16404160475482912,0.00884778830030612,1.0153102803471785
7,5,894,0.26567607726597325,0.024943272403192083,0.7034807845268265
7,6,264,0.07845468053491828,-0.19997308134861463,1.1664807981043135
8,0,93,0.02763744427934621,-0.08451143111415166,1.077705635994007
8,1,733,0.21783060921248143,-0.06525774334385441,0.8161990501136211
8,2,273,0.0811292719167905,-0.12849420368686668,1.016881489283357
8,3,648,0.19257057949479942,0.008776367088531307,1.00368972931159
8,4,100,0.029717682020802376,-0.02202445950092284,1.0470117097339116
8,5,921,0.2736998514115899,0.1563568635464789,0.6347701066322878
8,6,489,0.14531946508172364,0.02331446574895792,0.9180439320669385
8,7,108,0.032095096582466565,-0.01725712640009671,0.9860940212152032
