K,replicate,ARI,mean_matched_cluster_jaccard,min_matched_cluster_jaccard
2,1,0.9916201877572589,0.9954190828850229,0.994017094017094
2,2,0.9976027741205726,0.9986906556288198,0.9982920580700256
2,3,0.9916201877572589,0.9954190828850229,0.994017094017094
2,4,0.9892374663534835,0.9941307857162738,0.9923599320882852
2,5,0.9892345732834903,0.9941214960507976,0.9923339011925043
2,6,0.9785290622007119,0.9882875431807165,0.9847457627118644
2,7,0.9785202831738908,0.988259659454161,0.9846678023850085
2,8,0.9880423835482027,0.9934719535783365,0.9914893617021276
2,9,0.9655063336384507,0.9811551665048812,0.9754028837998303
2,10,0.9868465062604476,0.9928088286268109,0.9906063193851409
2,11,0.9690414618873022,0.9830697442199863,0.977872340425532
2,12,0.9916201877572589,0.9954190828850229,0.994017094017094
2,13,0.9868518716676142,0.9928259659233382,0.9906542056074766
2,14,0.9916201877572589,0.9954190828850229,0.994017094017094
2,15,0.9880383013060459,0.9934589220303507,0.9914529914529915
2,16,0.9940128867570857,0.9967320945935463,0.995741056218058
2,17,0.9928168762453198,0.9960775780819113,0.9948849104859335
2,18,0.9797151499541396,0.988932125480829,0.9855810008481765
2,19,0.994012483646594,0.9967307973633734,0.9957374254049446
2,20,0.9892338426722659,0.9941191576486391,0.9923273657289002
3,1,0.8501033270153449,0.8963793326145068,0.8418560606060606
3,2,0.9107773243477166,0.9369195018662073,0.8989583333333333
3,3,0.884519704653079,0.91597659256355,0.8533190578158458
3,4,0.8991556715056224,0.9282379114995937,0.8805031446540881
3,5,0.8533081866381392,0.8960782074464531,0.8385155466399198
3,6,0.8874254417281366,0.9223494493901468,0.8752475247524752
3,7,0.9233142754145877,0.9456117293188605,0.9098445595854923
3,8,0.8833434368393317,0.9176398316609209,0.864185110663984
3,9,0.8573430990367171,0.9000205974844433,0.8455522971652004
3,10,0.8288866057249387,0.8825601229868645,0.8183520599250936
3,11,0.8588686546475239,0.8975565123534089,0.8256302521008403
3,12,0.8751110586982613,0.9126856099907034,0.8595284872298625
3,13,0.8634718825220455,0.8999030920499612,0.8242229367631297
3,14,0.8786779800455352,0.912455922379576,0.850418410041841
3,15,0.8648782667579356,0.9051350383928104,0.84375
3,16,0.8716909752947891,0.9099708672612444,0.8592666005946482
3,17,0.8687838193608627,0.9071515608212142,0.8591408591408591
3,18,0.8735975428672299,0.9112953776204149,0.858128078817734
3,19,0.8404436516708836,0.8863357714653879,0.8208802456499488
3,20,0.8740087851668193,0.9118187324280145,0.855609756097561
4,1,0.8133622287428428,0.75434962383648,0.44666666666666666
4,2,0.8205558356237879,0.7228802015675548,0.3053435114503817
4,3,0.8527296867217696,0.809934255629125,0.5672727272727273
4,4,0.7990766655599294,0.7183932303297705,0.33955223880597013
4,5,0.8413959081214102,0.7341018845682089,0.2901960784313726
4,6,0.8194903171060413,0.7462560515562393,0.3783783783783784
4,7,0.8326047308078208,0.7180980200513156,0.24621212121212122
4,8,0.795242557875721,0.7627114307127485,0.5119760479041916
4,9,0.8034550930232572,0.7192091076147421,0.32558139534883723
4,10,0.8022327232990056,0.7285083582156691,0.3911764705882353
4,11,0.8057431092183229,0.700334176042194,0.23577235772357724
4,12,0.8359491439027107,0.770584972523485,0.44573643410852715
4,13,0.8218804152581389,0.7668852694214202,0.46153846153846156
4,14,0.8052959589206302,0.7082463212574797,0.2857142857142857
4,15,0.8022432327970997,0.7476451548471974,0.43630573248407645
4,16,0.7885025630287056,0.7047807763826734,0.2961672473867596
4,17,0.8321849406390177,0.7855628439228417,0.519163763066202
4,18,0.8012060871986784,0.708760954397827,0.291044776119403
4,19,0.8416134401376407,0.7958661886193568,0.5514018691588785
4,20,0.8300191029907967,0.7501869254245064,0.37777777777777777
5,1,0.5677564758200189,0.4967535774412083,0.24785276073619633
5,2,0.6659508601058368,0.6400891061201486,0.19498607242339833
5,3,0.589309037371628,0.5424715223153024,0.2664041994750656
5,4,0.5842034991874062,0.5400771950856817,0.26238532110091745
5,5,0.6943372646768997,0.684861502725729,0.25150602409638556
5,6,0.6114301884858974,0.5996489410637782,0.37375415282392027
5,7,0.7128247492958004,0.7047299480057075,0.2562111801242236
5,8,0.6042345489828466,0.5773596744824276,0.3683206106870229
5,9,0.5960596001684038,0.5873244203585553,0.3798319327731092
5,10,0.7223480913363758,0.7171292762358233,0.27865612648221344
5,11,0.5914083089973319,0.5735983224611158,0.25508317929759705
5,12,0.668265045567879,0.6751732268876894,0.30884557721139433
5,13,0.6847465722039678,0.6994901192700644,0.38865248226950355
5,14,0.6621821044272794,0.6773728577119245,0.4296160877513711
5,15,0.6479627523578233,0.6140554486235905,0.25206124852767964
5,16,0.6041691465915149,0.5888583983947984,0.2823871906841339
5,17,0.590369580858925,0.5584156666284746,0.29237947122861585
5,18,0.5805690773133305,0.5363740805395618,0.27910685805422647
5,19,0.5924081120487706,0.5457218174953583,0.2732166890982503
5,20,0.666621418594636,0.6653878189023016,0.37731958762886597
6,1,0.6000581714448966,0.5491457542121301,0.05860805860805861
6,2,0.546145914223818,0.40090405664292894,0.01126126126126126
6,3,0.6793871769285686,0.5032553066276053,0.009345794392523364
6,4,0.6918004111801813,0.5430941145619034,0.026785714285714284
6,5,0.5837579501214101,0.4958930576848329,0.026128266033254157
6,6,0.7134148341507176,0.573776960920085,0.022408963585434174
6,7,0.6515473060885164,0.49211307561556605,0.007633587786259542
6,8,0.6659834785147296,0.6114388107775929,0.22535211267605634
6,9,0.6556331444982186,0.5053591585404583,0.02569593147751606
6,10,0.5945227613629008,0.5037788519317014,0.014545454545454545
6,11,0.5888484057919949,0.38932537609637546,0.030303030303030304
6,12,0.7290194832414773,0.5784687983911031,0.02857142857142857
6,13,0.6155751089497907,0.5827952862982243,0.12949640287769784
6,14,0.5904833566421068,0.5220828642455493,0.06837606837606838
6,15,0.5798508974079989,0.46669767090680736,0.0
6,16,0.6724253222168396,0.5169823784046544,0.026954177897574125
6,17,0.6355547514453229,0.5535976723976505,0.043010752688172046
6,18,0.5794547268652583,0.5098151868216977,0.04941860465116279
6,19,0.6120644028613288,0.5565290055410935,0.0
6,20,0.6506550299133633,0.5352393092411422,0.04361370716510903
7,1,0.455341497342661,0.4074360883651415,0.07744107744107744
7,2,0.3616422931693446,0.3271182375724523,0.015015015015015015
7,3,0.3612150353058606,0.3360115920389172,0.01394700139470014
7,4,0.51063886292248,0.4903716157802967,0.21161825726141079
7,5,0.47412970622541256,0.4075043812495752,0.1
7,6,0.46125654308192693,0.3833505980474063,0.0
7,7,0.48733163319871053,0.4723990738205214,0.1658291457286432
7,8,0.4289716904063313,0.3949222257155573,0.025889967637540454
7,9,0.36925590285969295,0.28378747128034465,0.01892744479495268
7,10,0.4821459367331823,0.45548119838316264,0.08994708994708994
7,11,0.44308100902067826,0.3565113616543333,0.08265802269043761
7,12,0.45479734740301797,0.41071852537271447,0.1226890756302521
7,13,0.5537459599374371,0.37926845468597653,0.028037383177570093
7,14,0.3827388366969997,0.3496537416947555,0.09803921568627451
7,15,0.4700433904504279,0.41852828988109225,0.0723905723905724
7,16,0.5059634678256119,0.45962893661248916,0.07792207792207792
7,17,0.5747621740925908,0.5505268330230525,0.17647058823529413
7,18,0.48503458348094947,0.4558761648482741,0.10085470085470086
7,19,0.5706955579950974,0.4960832774976442,0.0756578947368421
7,20,0.4575999611732945,0.43958868446906274,0.07871720116618076
8,1,0.4685172716524992,0.30589032035712926,0.013054830287206266
8,2,0.4083067287372765,0.3273593384206571,0.003067484662576687
8,3,0.5230705860669471,0.39439075949296154,0.04788732394366197
8,4,0.44074758793445135,0.3301642874757536,0.024691358024691357
8,5,0.5189111630529958,0.4252576581260488,0.2865761689291101
8,6,0.5838849235405832,0.4041964980503279,0.09061488673139159
8,7,0.6340523342998519,0.48528476633310835,0.0738255033557047
8,8,0.6418630127735792,0.5071972671149428,0.14479638009049775
8,9,0.48047749441604465,0.3681430133499336,0.043209876543209874
8,10,0.6300726397956691,0.47351138457797665,0.034375
8,11,0.5101073588156528,0.32542536541999273,0.016544117647058824
8,12,0.44096835839872245,0.34988245777267546,0.0
8,13,0.6221296133391441,0.4712156276119296,0.03614457831325301
8,14,0.5858515631873106,0.43299288683189036,0.009259259259259259
8,15,0.6584990957120317,0.5369356670899222,0.12781954887218044
8,16,0.6173059471814375,0.46524925885216734,0.05228758169934641
8,17,0.607340293744701,0.47263749627577023,0.0
8,18,0.5969150918812252,0.41563505872514395,0.021406727828746176
8,19,0.5183906547309542,0.36119241611908726,0.0
8,20,0.5802186711423467,0.47516095730935903,0.05263157894736842
