K,cluster,n,log_total_activity_mean,log_total_activity_median,direction_balance_mean,direction_balance_median,post_midnight_share_mean,post_midnight_share_median,deep_night_share_mean,deep_night_share_median,post_midnight_persistence_mean,post_midnight_persistence_median,weekend_ratio_mean,weekend_ratio_median,zero_bin_count_mean,zero_bin_count_median,post_midnight_zero_bin_count_mean,post_midnight_zero_bin_count_median
2,0,1170,5.9353447638761345,5.82334071307956,-0.18176073290957073,-0.1952451113579777,0.07458736816117112,0.0690735733919917,0.04857734768046717,0.0426757887187349,0.11703966213829504,0.103755004599552,0.7541667591490528,0.7459816336109039,22.54957264957265,23.0,22.235897435897435,22.0
2,1,2195,7.2551781994616045,7.174748390710289,-0.09513242807818979,-0.110053433014481,0.12464552142356196,0.1174515795461849,0.07398648579386596,0.0671292315103081,0.2145894436444702,0.1927080340019328,0.8094001589773466,0.7988666735264145,1.7945330296127562,0.0,1.7544419134396356,0.0
3,0,1136,5.923187272624394,5.82334071307956,-0.18392062846181506,-0.1974483067481989,0.0727986658536257,0.0678239553583338,0.04705793136791674,0.041356770540204105,0.11308706819647008,0.10188547167805284,0.7532407328214507,0.7445359878392817,22.777288732394368,23.0,22.45950704225352,23.0
3,1,1309,7.913147495764572,7.769498572744808,-0.07539329030631069,-0.090843631378083,0.12395823808590208,0.118433474062852,0.07113902017052223,0.0663400112585681,0.2135696011360316,0.195313297195527,0.8152408557505582,0.8097829703215624,0.48128342245989303,0.0,0.48128342245989303,0.0
3,2,920,6.285237725974094,6.297785169737763,-0.12375226760026282,-0.14946215392948253,0.1259820893577436,0.11525008186610995,0.0789750496375167,0.06913975842687034,0.21731599580778466,0.1852640313576988,0.8001920701054555,0.7867381514673916,4.148913043478261,2.0,4.046739130434783,2.0
4,0,213,5.798622383687819,5.663408365931239,-0.03775876429284886,-0.0568362359973892,0.1256406721078129,0.1091654957162219,0.08159245414557205,0.0621061560422938,0.22966547447950728,0.1805413212482777,0.8207450212609164,0.7815455317242038,9.234741784037558,7.0,8.892018779342724,7.0
4,1,939,6.549663268380594,6.572801638709586,-0.1505169375355042,-0.1742530093628139,0.11986128209115933,0.1134292278256166,0.07289744047471987,0.0658761403977987,0.2018270922490949,0.1827361358015767,0.7983564686225937,0.7900378053562316,2.54419595314164,1.0,2.498402555910543,1.0
4,2,1079,8.108088445760915,7.965379830228729,-0.05849474224771446,-0.0742887850771895,0.12774055909765278,0.1212311870023498,0.07331502628977886,0.0690183894057874,0.22205546368885626,0.201898921138158,0.8148523863432923,0.8100106111654719,0.34198331788693237,0.0,0.34198331788693237,0.0
4,3,1134,5.93968404924373,5.8413187532325415,-0.18428738016783527,-0.19692897466152387,0.07382792765816451,0.0690735733919917,0.047882742855592776,0.0425173003965676,0.11457495810855933,0.10331665156092296,0.7542392581393866,0.7460454141432702,22.57231040564374,23.0,22.27336860670194,22.0
5,0,508,6.26024140267079,6.241509815010154,-0.1703555567674089,-0.1827837672619071,0.09126926681243899,0.0866195463154503,0.06041865286010301,0.054222468385714595,0.14463446393983048,0.1350476177246,0.7678488010096584,0.7513886795338396,18.230314960629922,18.0,18.02755905511811,18.0
5,1,912,6.7721242784996045,6.749508352194609,-0.134872800825198,-0.15540280654705055,0.11125317403199689,0.1074192597878322,0.0668329881189366,0.0608405464987275,0.1835585931722329,0.1728833098998283,0.7939777744080764,0.7885650692184745,2.013157894736842,1.0,2.0076754385964914,1.0
5,2,943,8.205526578502488,8.06314645114433,-0.057683177520457256,-0.0750557294494906,0.13033359576073827,0.1228240836961983,0.07441388040931278,0.0711154786113762,0.22777373625348327,0.2063940475296765,0.8199150563684783,0.8164913420071813,0.23435843054082714,0.0,0.23435843054082714,0.0
