cluster,log1p_poi_count,poi_density_km2,shannon_group,shannon_category,log1p_poi_count_no_transport,shannon_group_no_transport
0,-0.41750340957566523,-0.3767854463937243,-0.3582425823844857,-0.4116446724895074,-0.4379634658734323,-0.39553412991142917
1,0.5408523536721204,0.4705186818610632,0.2781048475087117,0.38163085559903653,0.5446275523537074,0.31545441683557984
2,-0.17758769263164229,-0.13340118037760668,-0.025245350851971254,-0.03675198568523871,-0.16913753532145348,-0.015723282368883852
3,-0.2974188650299594,-0.283652628098914,-0.1250088493991236,-0.2514724572363239,-0.2990793154911767,-0.1771085162720645
