cluster,"01 Accommodation, eating and drinking",02 Commercial services,03 Attractions,04 Sport and entertainment,05 Education and health,06 Public infrastructure,07 Manufacturing and production,09 Retail,10 Transport
0,0.09817594059439096,0.31527886046152676,0.022953825750620348,0.03490228488636779,0.09119587119018825,0.16014890694662606,0.035452093745174836,0.12633404271730506,0.11555817370779994
1,0.15211892662674192,0.38768158347642284,0.04710628329068535,0.02753373497799357,0.046150523009942095,0.09486264339007083,0.03016754768626674,0.13875723813945756,0.07562151940241907
2,0.14057047728384983,0.34676443301341214,0.04139726251625553,0.03176257067300454,0.08298166663767084,0.11439645860136786,0.03545077860897437,0.13564715591874843,0.07102919674671643
3,0.13286708504948097,0.2808589091932933,0.03479705862649119,0.03867167560511687,0.06948162322514236,0.14192312886888137,0.047719879748415836,0.11984797032661787,0.13383266935656027
4,0.11759740757670431,0.3142715338204717,0.034313102551400826,0.03305440758107853,0.08526182519100144,0.1458705964427609,0.035080037007232626,0.12668603564241807,0.10786505418693162
