NLC,cluster,area_km2,distance_centre_km,poi_count,shannon_group,shannon_category,group_richness,category_richness,poi_count_no_transport,shannon_group_no_transport,shannon_category_no_transport,group_richness_no_transport,category_richness_no_transport,log1p_poi_count,poi_density_km2,log1p_poi_count_no_transport,poi_density_km2_no_transport
500,4,1.2317024445581386,10.685404159149039,304,2.011132582081823,3.1189104974112865,9,38,278,1.8798455515105699,3.005463113468171,8,34,5.720311776607412,246.8128575559149,5.631211781821365,225.7038631596853
501,2,0.5061764785439632,2.3833087155279156,884,1.6634818342255098,3.2061728603322748,9,42,848,1.5566360365797496,3.1186692364625093,8,38,6.785587645007929,1746.4264687740158,6.744059186311348,1675.3050288691916
502,2,0.29063659380233237,3.5895266993420356,877,1.536407857101121,2.848449538969282,9,42,861,1.4721415171142758,2.793114937172867,8,39,6.777646593635117,3017.514031961388,6.759255270663693,2962.462464673609
503,2,0.5253776262225596,3.930427267645119,1064,1.736922379022316,3.089551484371366,9,41,1039,1.6646858237519297,3.0245215995207704,8,37,6.970730078143525,2025.2099573598327,6.946975992135418,1977.6251369331449
504,3,1.0344546132695058,9.203873154275827,547,1.770608736267281,2.716525877598397,9,41,496,1.6108351829392813,2.516357374029654,8,36,6.306275286948016,528.7810533041632,6.208590026096629,479.4797119540492
505,0,1.8053771486498227,12.609410741101232,558,1.8357485933435085,3.1765173736601247,9,39,523,1.7085156824760812,3.071262084203743,8,35,6.326149473155099,309.0766937076324,6.261491684321042,289.6901627403078
507,1,1.7440830439039625,3.072216525279845,1718,1.8810478838139648,3.1581740602953055,9,48,1627,1.7675051633434926,3.059578865218838,8,43,7.449498005382849,985.0448383205548,7.395107546562485,932.868423718011
508,4,1.0654548445976015,6.388871615599986,435,1.9441408060722494,3.0268950720132977,9,41,387,1.7949708833177136,2.9130290160694883,8,37,6.077642243349034,408.27633588196767,5.961005339623274,363.2251539915436
509,4,1.8661756898264978,12.143914754163116,356,1.9185819174732597,3.148965333456548,9,40,285,1.7724544213461626,2.954003692129123,8,35,5.877735781779639,190.76446121377674,5.655991810819852,152.7187400166471
510,4,1.0769944526635467,5.851469927976903,467,1.8529933444313393,2.953191264923252,9,40,451,1.764180306407106,2.8696801867550197,8,36,6.148468295917647,433.6141182947123,6.113682179832232,418.75796006619964
