cluster,poi_count_count,poi_count_mean,poi_count_median,poi_count_std,poi_density_km2_count,poi_density_km2_mean,poi_density_km2_median,poi_density_km2_std,shannon_group_count,shannon_group_mean,shannon_group_median,shannon_group_std,shannon_category_count,shannon_category_mean,shannon_category_median,shannon_category_std,poi_count_no_transport_count,poi_count_no_transport_mean,poi_count_no_transport_median,poi_count_no_transport_std,shannon_group_no_transport_count,shannon_group_no_transport_mean,shannon_group_no_transport_median,shannon_group_no_transport_std
0,73,405.013698630137,362.0,245.38526925081874,73,236.50118915129892,200.49427478993508,130.7007880529502,73,1.8772957143261744,1.8863480453851034,0.08899502943607882,73,3.0052206946551,3.024848709971017,0.15700777213282704,73,365.7260273972603,324.0,233.00579751215852,73,1.7291514191232502,1.7363498740414878,0.09528060559277804
1,26,1017.6538461538462,872.5,735.6749794471847,26,2293.2393833032556,2047.5248758347254,1936.4590793378197,26,1.714982992556569,1.7011898287392118,0.13968750050001283,26,2.893354731385586,2.9327322331524464,0.20726897593737692,26,981.4615384615385,843.5,736.2514369843623,26,1.6090853810579202,1.6252440918529767,0.12989727502855578
2,90,619.5333333333333,506.5,482.07212384068583,90,891.3119887503467,668.3767723292376,755.3693861340917,90,1.8315812305085157,1.8653971852974789,0.13671870804578323,90,3.0378827687788195,3.0664600840652896,0.16760764066772887,90,584.4777777777778,462.0,474.22945728023853,90,1.7090177398194997,1.741231478174471,0.12437363815761777
3,31,377.7741935483871,379.0,234.80072539317524,31,425.3055582133245,452.2980059247035,246.5599256762751,31,1.9092318855581618,1.915217579212477,0.07565919040226285,31,3.033482339032095,3.052093014967582,0.1796906357262096,31,336.06451612903226,313.0,223.22797546960385,31,1.7752039385490412,1.778847917647417,0.08478123281582581
4,167,449.21556886227546,426.0,230.67389801629022,167,353.59402104204247,322.19327106133875,172.51402657184354,167,1.887848987003194,1.8962991013494632,0.07041601682314809,167,3.0540418606714104,3.0594424668661007,0.12930439522829376,167,408.9520958083832,387.0,221.8765207552358,167,1.7512065457634587,1.7566566567196786,0.07249049531039203
