K,cluster,n,share,mean_silhouette,relative_compactness_vs_sample,mean_log_total_activity,mean_post_midnight_share,mean_zero_bin_share
3,0,1078,0.31969157769869516,-0.12083142637002367,1.175687746181402,5.908417493827096,0.06801115389204561,0.3153473510616368
3,1,1742,0.5166073546856464,0.27711652202220904,0.7404202870137822,7.54501249575706,0.11765706380974159,0.021327656588850594
3,2,552,0.16370106761565836,-0.18187028680689166,1.2666399079125823,6.18823784556806,0.15142601873262718,0.08174818840579708
4,0,1535,0.4552194543297746,0.2500279388848375,0.7019665797219667,7.645834171995317,0.11373802588708544,0.0212993123416576
4,1,323,0.0957888493475682,-0.1387504414196805,1.1099520393469595,6.8285712000969,0.16198533685625657,0.049750601995184024
4,2,502,0.14887307236061684,-0.12957806510429798,1.1498678963046343,6.0403414450125785,0.13405428335839406,0.09813523683045591
4,3,1012,0.3001186239620403,-0.1323247572409336,1.1690394829573496,5.883752726944222,0.0668551458551822,0.32035024154589375
