LSOA21CD,n_oas,loac_dominant_supergroup,loac_A_share,loac_B_share,loac_C_share,loac_D_share,loac_E_share,loac_F_share,loac_G_share
E01000212,4,G,0.25,0.25,0.0,0.0,0.0,0.0,0.5
E01000213,4,G,0.0,0.25,0.0,0.0,0.0,0.0,0.75
E01000214,5,A,0.4,0.2,0.0,0.2,0.0,0.0,0.2
E01000215,5,B,0.0,0.6,0.0,0.0,0.0,0.0,0.4
E01000216,5,B,0.2,0.4,0.0,0.0,0.0,0.0,0.4
E01000217,4,G,0.0,0.25,0.0,0.0,0.0,0.0,0.75
E01000218,4,G,0.0,0.25,0.25,0.0,0.0,0.0,0.5
E01000219,5,C,0.0,0.2,0.8,0.0,0.0,0.0,0.0
E01000220,4,B,0.0,0.5,0.25,0.0,0.25,0.0,0.0
E01000221,4,F,0.0,0.0,0.0,0.0,0.25,0.75,0.0
E01000222,5,C,0.0,0.2,0.4,0.0,0.0,0.4,0.0
E01000223,6,F,0.0,0.0,0.0,0.0,0.16666666666666666,0.8333333333333334,0.0
E01000224,4,C,0.0,0.0,1.0,0.0,0.0,0.0,0.0
E01000225,4,G,0.25,0.0,0.0,0.0,0.0,0.0,0.75
E01000226,5,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000227,5,G,0.0,0.0,0.2,0.0,0.0,0.0,0.8
E01000228,4,G,0.0,0.0,0.25,0.0,0.0,0.0,0.75
E01000229,5,F,0.0,0.0,0.2,0.0,0.0,0.8,0.0
E01000230,5,G,0.0,0.0,0.2,0.0,0.0,0.0,0.8
E01000231,5,G,0.0,0.0,0.2,0.0,0.2,0.0,0.6
E01000232,5,G,0.0,0.0,0.2,0.0,0.0,0.0,0.8
E01000233,5,G,0.0,0.0,0.2,0.0,0.0,0.2,0.6
E01000234,5,B,0.0,0.4,0.2,0.0,0.0,0.0,0.4
E01000235,4,F,0.0,0.25,0.0,0.0,0.0,0.75,0.0
E01000236,5,G,0.0,0.2,0.0,0.0,0.2,0.0,0.6
E01000237,5,C,0.0,0.2,0.4,0.0,0.0,0.0,0.4
E01000238,5,F,0.0,0.2,0.0,0.0,0.0,0.4,0.4
E01000239,7,B,0.0,0.42857142857142855,0.14285714285714285,0.0,0.2857142857142857,0.14285714285714285,0.0
E01000240,4,C,0.0,0.0,0.75,0.0,0.0,0.0,0.25
E01000241,5,G,0.0,0.2,0.0,0.0,0.2,0.0,0.6
E01000242,5,G,0.2,0.2,0.0,0.0,0.2,0.0,0.4
E01000243,6,B,0.0,1.0,0.0,0.0,0.0,0.0,0.0
E01000244,4,F,0.0,0.0,0.25,0.0,0.0,0.5,0.25
E01000245,6,E,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0
E01000246,5,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000247,6,G,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666
E01000248,5,A,0.8,0.2,0.0,0.0,0.0,0.0,0.0
E01000249,5,G,0.2,0.0,0.0,0.0,0.0,0.0,0.8
E01000250,7,B,0.14285714285714285,0.5714285714285714,0.0,0.0,0.0,0.0,0.2857142857142857
E01000251,7,B,0.14285714285714285,0.8571428571428571,0.0,0.0,0.0,0.0,0.0
E01000252,6,B,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
E01000253,6,G,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.8333333333333334
E01000254,5,G,0.4,0.0,0.0,0.0,0.0,0.0,0.6
E01000255,5,F,0.0,0.2,0.0,0.0,0.0,0.4,0.4
E01000256,5,F,0.0,0.2,0.0,0.0,0.0,0.4,0.4
E01000257,6,B,0.0,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0
E01000258,5,G,0.0,0.2,0.0,0.0,0.0,0.0,0.8
E01000259,7,G,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.7142857142857143
E01000260,5,C,0.0,0.0,0.6,0.0,0.0,0.2,0.2
E01000261,5,G,0.2,0.0,0.0,0.0,0.0,0.0,0.8
E01000263,4,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000264,5,A,0.2,0.2,0.2,0.0,0.0,0.2,0.2
E01000265,6,F,0.0,0.3333333333333333,0.0,0.0,0.0,0.5,0.16666666666666666
E01000266,4,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000267,5,G,0.0,0.0,0.0,0.0,0.2,0.0,0.8
E01000268,7,E,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.2857142857142857
E01000269,4,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000270,5,G,0.0,0.4,0.0,0.0,0.0,0.0,0.6
E01000271,5,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000272,4,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000273,5,B,0.0,0.6,0.0,0.0,0.0,0.0,0.4
E01000274,5,F,0.0,0.0,0.0,0.0,0.0,0.8,0.2
E01000275,5,B,0.2,0.4,0.0,0.0,0.0,0.0,0.4
E01000276,4,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000277,6,B,0.0,1.0,0.0,0.0,0.0,0.0,0.0
E01000278,4,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000279,4,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000280,4,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000281,6,A,0.5,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666
E01000282,5,G,0.2,0.0,0.0,0.0,0.0,0.0,0.8
E01000283,4,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000284,6,B,0.0,0.5,0.16666666666666666,0.0,0.0,0.3333333333333333,0.0
E01000285,5,G,0.0,0.0,0.0,0.0,0.0,0.4,0.6
E01000286,5,F,0.0,0.0,0.0,0.0,0.0,0.8,0.2
E01000287,5,F,0.0,0.0,0.0,0.0,0.0,0.8,0.2
E01000288,5,G,0.0,0.0,0.0,0.0,0.0,0.4,0.6
E01000289,4,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000290,5,G,0.0,0.0,0.0,0.0,0.0,0.4,0.6
E01000291,5,F,0.0,0.2,0.0,0.0,0.0,0.8,0.0
E01000292,5,G,0.2,0.2,0.0,0.0,0.0,0.2,0.4
E01000293,5,G,0.0,0.2,0.0,0.0,0.0,0.0,0.8
E01000294,5,B,0.0,0.6,0.0,0.0,0.0,0.0,0.4
E01000295,5,A,0.4,0.4,0.0,0.0,0.0,0.0,0.2
