unit,cluster,max_posterior,normalized_entropy
E01000001,2,0.9999999999610623,6.059511802110244e-10
E01000002,3,1.0,2.3073984964508492e-110
E01000005,2,1.0,5.499137417532758e-16
E01000007,4,1.0,7.772219495036217e-15
E01000008,4,0.999999980590758,2.2626791462921356e-07
E01000009,2,1.0,3.6564504203751775e-18
E01000011,3,0.9996042840850368,0.002172185810207776
E01000013,2,1.0,6.179357474568116e-15
E01000017,0,0.9996247827021073,0.0020722619374956256
E01000019,4,0.9999998776213562,1.2869070911910224e-06
E01000020,4,1.0,3.804982887548032e-14
E01000021,4,0.9993953782742921,0.0031596434529573268
E01000024,0,0.999998605398395,1.2551773955193127e-05
E01000027,0,0.9999989704407042,9.469224885659279e-06
E01000029,0,0.999996390257912,3.035846301509776e-05
E01000030,4,0.9948437640161422,0.020071419851374003
E01000031,0,0.9999574219978495,0.0002946103491841424
E01000032,0,0.9834693169466177,0.05232341498901901
E01000034,4,0.9999382128871596,0.0004104684316498865
E01000035,2,0.9889495541732832,0.038747451080280694
E01000036,2,0.9999999999987494,2.1785854854139328e-11
E01000038,4,0.9999998536976129,1.5216713805720792e-06
E01000040,4,0.7785516688433447,0.3285219815067443
E01000041,4,0.9997314727760512,0.0015387195829416134
E01000042,4,0.9999973832525046,2.315206329427054e-05
E01000043,4,1.0,2.583210252143313e-13
E01000045,0,0.7407001283660052,0.3556068932512442
E01000049,4,1.0,8.74490040857783e-14
E01000050,2,0.9972072288852148,0.01214355311930778
E01000052,0,0.9999352446629269,0.00042847810707688744
E01000057,4,0.9999168581428515,0.0005370050623351989
E01000058,4,0.9998439829394564,0.0009466546744013913
E01000060,2,0.9999964222472837,3.0100907383636595e-05
E01000061,2,0.9805175229311821,0.061253128511503184
E01000062,4,0.9999999999998295,2.8013223188757972e-12
E01000063,1,1.0,1.2997306843722687e-15
E01000064,4,0.9921791849414485,0.02841284108178365
E01000065,4,0.9999872669332678,0.00010156101737969023
E01000067,0,0.9999999548603579,5.024717819654543e-07
E01000068,1,0.9999812178857052,0.00013874753621112194
E01000070,2,0.9999837096788318,0.00012171450886955358
E01000071,4,0.999999999997442,4.451720425282758e-11
E01000072,4,0.9999880663568023,9.148400303979775e-05
E01000073,4,0.9999999999809006,3.090027953688033e-10
E01000074,4,0.9999999036618921,1.026914663763858e-06
E01000075,2,0.9999999993659117,8.742234123918172e-09
E01000077,4,0.999996355031832,3.062447885515837e-05
E01000078,2,0.9270613071476707,0.18947320348274188
E01000079,4,1.0,1.830866299087076e-13
E01000080,4,1.0,2.61643720091368e-13
E01000082,0,0.9999996655290024,3.31199487458074e-06
E01000083,2,0.9895209614508097,0.03615632680841178
E01000084,1,0.9999999999997158,5.123054056772666e-12
E01000085,4,0.9999999906529524,1.1324508765401344e-07
E01000086,0,0.9281400681527038,0.16056808545380122
E01000087,2,0.9999997782512896,2.2519974439933743e-06
E01000088,0,0.9999525716302742,0.0003228691481954806
